Geneid	Chr	Start	End	Strand	Length	pDG_M-t0-1	pDG_M-t0-2	pDG7_M-t0-1	pDG7_M-t0-2	pDG-t0-1	pDG-t0-2	pDG7-t0-1	pDG7-t0-2	GIL01-t0-1	GIL01_M-t0-1
HIS92_RS07960	NZ_CP051858.1	1561076	1561264	-	189	39	41	34	40	36	57	61	69	76	78
HIS92_RS07965	NZ_CP051858.1	1561392	1563728	-	2337	176	258	205	205	223	263	246	358	408	619
HIS92_RS07970	NZ_CP051858.1	1563824	1564483	-	660	123	262	49	251	141	181	205	256	216	177
HIS92_RS07975	NZ_CP051858.1	1564593	1565708	-	1116	627	750	601	829	945	810	1079	1562	1276	1201
HIS92_RS07980	NZ_CP051858.1	1565725	1566870	-	1146	233	260	242	321	361	296	358	550	453	705
HIS92_RS07985	NZ_CP051858.1	1566906	1567322	-	417	74	50	52	84	105	93	88	138	73	144
HIS92_RS07990	NZ_CP051858.1	1567616	1568902	+	1287	41	49	51	49	52	69	64	102	82	108
HIS92_RS07995	NZ_CP051858.1	1568940	1569581	+	642	46	33	25	40	39	52	28	47	61	58
HIS92_RS08000	NZ_CP051858.1	1569955	1570722	-	768	127	92	97	211	199	101	201	306	192	255
HIS92_RS08005	NZ_CP051858.1	1571232	1573007	-	1776	673	875	505	678	887	955	692	1095	1188	2063
HIS92_RS08010	NZ_CP051858.1	1573020	1574291	-	1272	270	407	223	317	345	383	302	497	530	913
HIS92_RS08015	NZ_CP051858.1	1574646	1574822	-	177	17	27	15	27	15	17	16	27	19	17
HIS92_RS08020	NZ_CP051858.1	1574905	1575237	-	333	25	43	26	57	24	43	42	59	40	27
HIS92_RS08025	NZ_CP051858.1	1575353	1575793	-	441	679	805	816	985	733	849	1037	1316	1222	600
HIS92_RS08030	NZ_CP051858.1	1575810	1577993	-	2184	946	1454	584	1400	1056	1457	1421	1810	1633	1932
HIS92_RS08035	NZ_CP051858.1	1578204	1578716	-	513	471	551	220	627	477	495	687	897	1197	1347
HIS92_RS08040	NZ_CP051858.1	1578764	1581103	-	2340	212	359	186	361	406	372	441	676	739	973
HIS92_RS08045	NZ_CP051858.1	1581205	1582098	-	894	83	99	111	149	117	141	144	256	175	134
HIS92_RS08050	NZ_CP051858.1	1582255	1584519	-	2265	2810	4667	3528	5338	4539	5974	5744	6934	6402	3639
HIS92_RS08055	NZ_CP051858.1	1584789	1585073	-	285	219	245	218	275	288	283	293	407	217	112
HIS92_RS08060	NZ_CP051858.1	1585259	1586818	+	1560	7	6	34	3	1	1	9	27	38	21
HIS92_RS08065	NZ_CP051858.1	1586899	1587546	-	648	14	10	28	25	11	16	15	40	66	24
HIS92_RS08070	NZ_CP051858.1	1587650	1588033	+	384	14	7	20	4	5	7	6	14	21	3
HIS92_RS08075	NZ_CP051858.1	1588070	1588330	-	261	6739	4669	8014	6360	5343	5987	7272	8550	5883	2577
HIS92_RS08080	NZ_CP051858.1	1588358	1589497	-	1140	783	1068	546	962	801	815	859	1315	1380	2076
HIS92_RS08085	NZ_CP051858.1	1589510	1590562	-	1053	258	401	217	319	281	310	245	428	646	1125
HIS92_RS08090	NZ_CP051858.1	1590582	1590782	-	201	41	36	17	33	26	23	33	28	66	129
HIS92_RS08095	NZ_CP051858.1	1590779	1591780	-	1002	317	398	239	339	249	310	230	419	563	963
HIS92_RS08100	NZ_CP051858.1	1591786	1592403	-	618	153	170	112	129	118	133	131	165	172	434
HIS92_RS08105	NZ_CP051858.1	1592592	1593536	+	945	616	540	492	596	1100	1094	1479	2172	2148	1422
HIS92_RS08110	NZ_CP051858.1	1593548	1594078	-	531	8	8	47	17	7	10	12	42	62	10
HIS92_RS08115	NZ_CP051858.1	1594560	1594940	+	381	66	45	48	73	75	59	83	102	42	15
HIS92_RS08120	NZ_CP051858.1	1594974	1595621	-	648	9	3	9	2	0	4	5	5	11	2
HIS92_RS08125	NZ_CP051858.1	1595800	1597878	-	2079	5	14	91	19	7	16	12	51	88	20
HIS92_RS08130	NZ_CP051858.1	1598105	1599211	-	1107	17	21	47	18	2	13	15	38	44	5
HIS92_RS08135	NZ_CP051858.1	1599242	1600075	-	834	3	9	44	13	2	12	6	49	57	14
HIS92_RS08140	NZ_CP051858.1	1600095	1601624	-	1530	3	7	40	15	5	7	15	23	52	9
HIS92_RS08145	NZ_CP051858.1	1601777	1602919	+	1143	86	108	49	159	95	117	158	146	74	35
HIS92_RS08150	NZ_CP051858.1	1602919	1603461	+	543	467	584	419	706	613	778	770	935	541	150
HIS92_RS08155	NZ_CP051858.1	1603543	1604190	+	648	108	99	113	136	76	146	95	146	165	203
HIS92_RS08160	NZ_CP051858.1	1604382	1604852	+	471	7	9	8	7	3	15	8	11	20	8
HIS92_RS08165	NZ_CP051858.1	1605030	1605881	-	852	271	408	118	368	232	350	434	432	178	88
HIS92_RS08170	NZ_CP051858.1	1605978	1607888	-	1911	41	59	50	62	41	53	34	102	93	54
HIS92_RS08175	NZ_CP051858.1	1607938	1609860	-	1923	76	105	83	110	81	110	77	116	163	119
HIS92_RS08180	NZ_CP051858.1	1609835	1610611	-	777	14	19	19	36	15	42	21	26	51	57
HIS92_RS08185	NZ_CP051858.1	1610705	1611787	-	1083	26	40	32	49	29	35	52	54	71	45
HIS92_RS08190	NZ_CP051858.1	1611777	1612484	-	708	12	23	22	23	12	24	33	29	44	22
HIS92_RS08195	NZ_CP051858.1	1612673	1613959	-	1287	1132	1217	1196	1255	1314	1141	1488	2583	2792	4048
HIS92_RS08200	NZ_CP051858.1	1613964	1614506	-	543	328	470	410	512	431	444	606	979	988	1321
HIS92_RS08205	NZ_CP051858.1	1614570	1614860	-	291	8997	12091	5531	16125	11714	11348	15715	23112	20002	17293
HIS92_RS08210	NZ_CP051858.1	1614864	1615208	-	345	6969	12274	4962	15590	11528	11169	15314	23120	25633	18966
HIS92_RS08215	NZ_CP051858.1	1615220	1615528	-	309	9364	14728	6504	19734	14331	13537	19606	29849	30913	21454
HIS92_RS08220	NZ_CP051858.1	1615694	1617085	-	1392	56	97	68	109	90	150	117	143	152	85
HIS92_RS08225	NZ_CP051858.1	1617153	1618013	-	861	13	14	27	12	7	13	14	42	33	31
HIS92_RS08230	NZ_CP051858.1	1618006	1618752	-	747	9	9	20	11	7	6	11	24	31	32
HIS92_RS08235	NZ_CP051858.1	1618886	1619683	-	798	397	542	342	597	663	692	844	1190	1678	2087
HIS92_RS08240	NZ_CP051858.1	1619686	1620372	-	687	1115	1217	1879	1591	1263	1555	1553	1949	1883	1661
HIS92_RS08245	NZ_CP051858.1	1620408	1620953	-	546	135	180	102	197	233	209	261	442	797	1347
HIS92_RS08250	NZ_CP051858.1	1620968	1621819	-	852	416	457	269	435	594	480	612	1037	1434	2393
HIS92_RS08255	NZ_CP051858.1	1621861	1622880	-	1020	330	475	353	459	424	562	562	822	1089	1491
HIS92_RS08260	NZ_CP051858.1	1623038	1623715	-	678	1	4	11	8	2	4	4	23	20	49
HIS92_RS08265	NZ_CP051858.1	1623762	1624337	-	576	208	274	112	290	199	254	301	382	331	250
HIS92_RS08270	NZ_CP051858.1	1624570	1625520	-	951	4	4	68	26	3	7	8	49	75	15
HIS92_RS08275	NZ_CP051858.1	1625685	1626986	-	1302	125	162	95	183	98	128	162	211	148	119
HIS92_RS08280	NZ_CP051858.1	1627080	1629725	-	2646	971	1561	692	1590	1647	1847	1799	2392	2226	2439
HIS92_RS08285	NZ_CP051858.1	1630209	1631234	-	1026	3	14	28	15	0	8	13	20	34	14
HIS92_RS08290	NZ_CP051858.1	1631269	1632270	-	1002	5	7	52	15	1	7	6	47	65	15
HIS92_RS08295	NZ_CP051858.1	1632351	1633637	-	1287	694	961	491	957	738	859	806	1059	1079	1453
HIS92_RS08300	NZ_CP051858.1	1633637	1634626	-	990	253	379	206	395	314	345	334	444	501	687
HIS92_RS08305	NZ_CP051858.1	1634647	1635399	-	753	163	214	154	172	162	224	160	219	360	274
HIS92_RS08310	NZ_CP051858.1	1635402	1636331	-	930	280	394	257	384	329	391	384	488	586	469
HIS92_RS08315	NZ_CP051858.1	1636347	1637180	-	834	164	189	100	195	200	275	245	279	387	317
HIS92_RS08320	NZ_CP051858.1	1637198	1638532	-	1335	428	626	271	606	661	998	989	1037	885	601
HIS92_RS08325	NZ_CP051858.1	1638949	1639401	+	453	859	988	281	915	476	525	614	722	482	210
HIS92_RS08330	NZ_CP051858.1	1639404	1639820	+	417	936	984	306	1027	463	575	594	763	520	291
HIS92_RS08335	NZ_CP051858.1	1639855	1640451	-	597	454	534	282	654	445	477	475	716	565	536
HIS92_RS08340	NZ_CP051858.1	1640448	1642778	-	2331	923	1193	813	1313	927	1122	1081	1757	1439	1814
HIS92_RS08345	NZ_CP051858.1	1642961	1644631	-	1671	20	41	40	49	21	31	23	62	58	67
HIS92_RS08350	NZ_CP051858.1	1644738	1645997	-	1260	7447	11718	6397	11906	9157	12093	11938	15876	15235	9500
HIS92_RS08355	NZ_CP051858.1	1646261	1647538	-	1278	13773	21499	7817	24781	23366	21138	28911	38181	30001	18824
HIS92_RS08360	NZ_CP051858.1	1647848	1648846	-	999	363	562	279	781	618	682	782	1016	653	547
HIS92_RS08365	NZ_CP051858.1	1649044	1649292	-	249	55	53	51	66	47	37	61	102	65	28
HIS92_RS08370	NZ_CP051858.1	1649812	1650426	+	615	97	199	55	252	147	232	299	319	237	76
HIS92_RS08375	NZ_CP051858.1	1650544	1651700	+	1157	9	23	19	25	13	11	15	26	30	22
HIS92_RS08380	NZ_CP051858.1	1651801	1652001	-	201	42	103	52	92	80	81	97	131	82	77
HIS92_RS08385	NZ_CP051858.1	1652548	1652621	-	74	9	12	12	15	10	11	17	29	37	21
HIS92_RS08390	NZ_CP051858.1	1652623	1652696	-	74	0	0	0	1	2	0	2	0	0	2
HIS92_RS08395	NZ_CP051858.1	1652805	1653308	-	504	200	253	146	290	220	295	285	373	303	353
HIS92_RS08400	NZ_CP051858.1	1653322	1653930	-	609	143	253	118	279	308	285	352	495	417	498
HIS92_RS08405	NZ_CP051858.1	1653942	1654679	-	738	175	293	147	334	279	335	371	493	342	516
HIS92_RS08410	NZ_CP051858.1	1654811	1655860	-	1050	3	10	37	12	10	15	2	36	50	13
HIS92_RS08415	NZ_CP051858.1	1656095	1656904	-	810	85	113	74	164	108	127	155	223	161	95
HIS92_RS08420	NZ_CP051858.1	1657118	1658443	-	1326	15	25	66	30	13	23	27	84	97	22
HIS92_RS08425	NZ_CP051858.1	1658957	1659640	+	684	35	40	57	53	36	46	37	96	68	23
HIS92_RS08430	NZ_CP051858.1	1659689	1660327	-	639	20	25	17	29	39	32	37	67	72	36
HIS92_RS08435	NZ_CP051858.1	1660485	1661099	-	615	3	2	27	8	3	5	4	12	24	10
HIS92_RS08440	NZ_CP051858.1	1661249	1661473	-	225	11	11	24	14	4	6	8	27	18	11
HIS92_RS08445	NZ_CP051858.1	1661639	1662934	-	1296	22	32	65	46	23	26	31	81	89	70
HIS92_RS08450	NZ_CP051858.1	1663033	1664274	-	1242	11	12	68	21	7	23	8	63	73	12
HIS92_RS08455	NZ_CP051858.1	1664458	1664643	+	186	14	15	15	11	18	10	15	19	21	4
HIS92_RS08460	NZ_CP051858.1	1664705	1665277	-	573	34	50	37	50	39	72	65	88	53	44
HIS92_RS08465	NZ_CP051858.1	1665378	1666343	+	966	92	113	89	165	108	165	153	242	116	94
HIS92_RS08470	NZ_CP051858.1	1666487	1667152	+	666	523	604	760	824	766	960	957	1462	1413	1014
HIS92_RS08475	NZ_CP051858.1	1667213	1667644	-	432	596	515	564	553	505	465	591	864	896	341
HIS92_RS08480	NZ_CP051858.1	1667763	1668989	-	1227	252	301	186	327	415	395	437	669	742	429
HIS92_RS08485	NZ_CP051858.1	1668992	1669876	-	885	82	111	68	95	121	96	106	165	193	123
HIS92_RS08490	NZ_CP051858.1	1670220	1671047	+	828	604	752	465	1284	1867	1610	2133	2234	895	395
HIS92_RS08495	NZ_CP051858.1	1671072	1671860	-	789	738	925	633	1378	1315	1269	1506	1669	589	234
HIS92_RS08500	NZ_CP051858.1	1671850	1672644	-	795	529	686	455	1119	1172	1072	1367	1549	534	206
HIS92_RS08505	NZ_CP051858.1	1672910	1673689	+	780	370	497	144	552	328	376	535	616	240	186
HIS92_RS08510	NZ_CP051858.1	1673726	1674172	-	447	21	31	25	36	12	16	20	31	34	8
HIS92_RS08515	NZ_CP051858.1	1674263	1675024	-	762	1373	1864	942	1697	1341	1749	1512	1759	1819	1118
HIS92_RS08520	NZ_CP051858.1	1675017	1676810	-	1794	1332	1665	1000	1545	1497	1837	1579	1954	2198	1541
HIS92_RS08525	NZ_CP051858.1	1676824	1677450	-	627	124	135	131	124	98	149	148	130	313	160
HIS92_RS08530	NZ_CP051858.1	1677750	1678199	+	450	665	673	333	768	567	532	746	825	504	306
HIS92_RS08535	NZ_CP051858.1	1678315	1680099	-	1785	326	427	177	305	161	171	155	271	291	382
HIS92_RS08540	NZ_CP051858.1	1680249	1680563	-	315	7893	5785	4481	5942	3115	3479	4446	5006	2962	2004
HIS92_RS08545	NZ_CP051858.1	1680775	1681752	-	978	219	305	197	356	126	179	281	506	229	82
HIS92_RS08550	NZ_CP051858.1	1681789	1682562	-	774	156	299	183	296	187	182	276	483	242	77
HIS92_RS08555	NZ_CP051858.1	1682641	1683417	-	777	397	634	470	803	631	619	884	1416	776	316
HIS92_RS08560	NZ_CP051858.1	1683429	1684061	-	633	619	803	545	962	851	913	1405	1841	863	300
HIS92_RS08565	NZ_CP051858.1	1684123	1685808	-	1686	44	53	76	63	61	69	76	153	101	59
HIS92_RS08570	NZ_CP051858.1	1686147	1686896	-	750	4	16	36	17	3	16	6	41	85	22
HIS92_RS08575	NZ_CP051858.1	1687348	1688322	+	975	253	316	213	370	449	379	555	780	757	143
HIS92_RS08580	NZ_CP051858.1	1688330	1690366	+	2037	77	59	74	60	91	56	77	144	143	92
HIS92_RS08585	NZ_CP051858.1	1690567	1691466	-	900	23	32	68	42	24	35	37	85	67	24
HIS92_RS08590	NZ_CP051858.1	1691620	1692123	+	504	10	17	22	26	13	20	23	42	45	18
HIS92_RS08595	NZ_CP051858.1	1692187	1692879	-	693	19	25	27	30	33	33	19	45	61	41
HIS92_RS08600	NZ_CP051858.1	1693009	1693713	-	705	14	13	31	22	6	21	13	38	34	19
HIS92_RS08605	NZ_CP051858.1	1693748	1693909	-	162	3	1	1	2	2	5	3	5	9	0
HIS92_RS08610	NZ_CP051858.1	1693902	1694825	-	924	5	13	15	8	9	18	4	29	36	10
HIS92_RS08615	NZ_CP051858.1	1694951	1695886	-	936	44	105	70	105	128	152	172	165	175	52
HIS92_RS08620	NZ_CP051858.1	1695888	1696580	-	693	11	43	35	48	43	54	52	98	64	31
HIS92_RS08625	NZ_CP051858.1	1696751	1696924	+	174	1504	727	2252	1103	678	641	901	1090	850	213
HIS92_RS08630	NZ_CP051858.1	1696925	1697119	+	195	46	103	67	144	91	90	137	153	159	39
HIS92_RS08635	NZ_CP051858.1	1697159	1698358	-	1200	98	153	76	139	113	102	86	166	185	144
HIS92_RS08640	NZ_CP051858.1	1698653	1698976	+	324	558	540	175	497	372	412	563	721	652	437
HIS92_RS08645	NZ_CP051858.1	1699049	1699813	-	765	269	245	103	186	203	195	183	227	355	382
HIS92_RS08650	NZ_CP051858.1	1699846	1700616	-	771	227	180	85	144	223	158	152	225	285	383
HIS92_RS08655	NZ_CP051858.1	1700606	1701589	-	984	203	178	84	125	243	176	111	219	375	411
HIS92_RS08660	NZ_CP051858.1	1701617	1702498	-	882	135	90	72	80	175	136	91	141	230	271
HIS92_RS08665	NZ_CP051858.1	1702568	1705690	-	3123	877	514	406	540	1143	898	802	1062	2384	1560
HIS92_RS08670	NZ_CP051858.1	1705715	1706173	-	459	195	130	101	165	314	243	223	355	672	339
HIS92_RS08675	NZ_CP051858.1	1706197	1706910	-	714	271	238	128	237	485	372	421	584	839	485
HIS92_RS08680	NZ_CP051858.1	1707399	1708724	-	1326	377	370	500	507	390	539	554	783	441	173
HIS92_RS08685	NZ_CP051858.1	1709204	1709893	-	690	20	22	34	25	7	27	21	49	58	59
HIS92_RS08690	NZ_CP051858.1	1710089	1712449	-	2361	215	296	243	285	344	367	320	539	561	949
HIS92_RS08695	NZ_CP051858.1	1712469	1714187	-	1719	102	119	106	113	162	154	140	248	247	321
HIS92_RS08700	NZ_CP051858.1	1714243	1714782	-	540	213	351	161	365	313	333	337	510	387	202
HIS92_RS08705	NZ_CP051858.1	1714784	1715053	-	270	117	121	58	116	99	131	166	200	129	109
HIS92_RS08710	NZ_CP051858.1	1715178	1716113	+	936	122	147	97	155	149	172	152	218	154	145
HIS92_RS08715	NZ_CP051858.1	1716358	1716609	+	252	15	15	8	22	13	20	18	24	21	24
HIS92_RS08720	NZ_CP051858.1	1716650	1716784	-	135	1	1	3	1	2	0	0	5	2	2
HIS92_RS08725	NZ_CP051858.1	1716878	1718269	-	1392	498	671	469	711	718	840	696	933	867	1291
HIS92_RS08730	NZ_CP051858.1	1718727	1721147	-	2421	2124	2519	2232	2529	2568	2982	2827	3732	3558	3509
HIS92_RS08735	NZ_CP051858.1	1721166	1722200	-	1035	413	425	222	344	420	450	392	594	680	1157
HIS92_RS08740	NZ_CP051858.1	1722522	1723319	-	798	363	437	205	523	302	401	416	534	345	251
HIS92_RS08745	NZ_CP051858.1	1723402	1723611	+	210	1	0	2	3	1	1	0	0	3	2
HIS92_RS08750	NZ_CP051858.1	1723789	1724346	+	558	146	140	77	124	107	146	159	200	65	36
HIS92_RS08755	NZ_CP051858.1	1724486	1725202	+	717	178	190	114	240	241	253	313	377	216	54
HIS92_RS08760	NZ_CP051858.1	1725390	1725761	+	372	11	27	18	12	3	14	10	32	57	16
HIS92_RS08765	NZ_CP051858.1	1725799	1727598	-	1800	162	151	169	178	175	150	192	291	258	130
HIS92_RS08770	NZ_CP051858.1	1727611	1728264	-	654	49	47	40	50	55	59	58	88	46	44
HIS92_RS08775	NZ_CP051858.1	1728561	1729178	+	618	127	169	41	106	76	96	90	124	74	57
HIS92_RS08780	NZ_CP051858.1	1729215	1730303	-	1089	589	1134	914	1282	1016	1350	1253	1697	1281	705
HIS92_RS08785	NZ_CP051858.1	1730374	1730865	-	492	339	408	397	592	471	451	510	647	580	184
HIS92_RS08790	NZ_CP051858.1	1731298	1731654	-	357	2077	2621	1791	3173	3123	2994	3370	5281	4742	7614
HIS92_RS08795	NZ_CP051858.1	1731692	1731892	-	201	2335	2330	2256	2628	3029	2540	2860	4343	4571	9177
HIS92_RS08800	NZ_CP051858.1	1731914	1732417	-	504	4004	4920	4728	6437	6720	6261	6864	12028	12909	11908
HIS92_RS08805	NZ_CP051858.1	1732811	1734748	-	1938	2522	3591	2022	3835	2827	3169	3250	4585	3908	4291
HIS92_RS08810	NZ_CP051858.1	1735056	1735937	-	882	10	6	16	15	3	6	10	19	25	11
HIS92_RS08815	NZ_CP051858.1	1736172	1736369	+	198	30	49	94	88	51	61	83	83	84	15
HIS92_RS08820	NZ_CP051858.1	1736401	1737339	-	939	163	185	140	233	172	166	208	328	247	199
HIS92_RS08825	NZ_CP051858.1	1737373	1738782	-	1410	70	119	82	136	87	101	135	199	180	157
HIS92_RS08830	NZ_CP051858.1	1738935	1739396	-	462	231	381	212	461	338	381	474	578	448	212
HIS92_RS08835	NZ_CP051858.1	1739680	1740063	-	384	527	723	425	953	1294	1361	1740	2156	1992	600
HIS92_RS08840	NZ_CP051858.1	1740451	1741479	-	1029	233	329	211	382	780	803	969	657	378	292
HIS92_RS08845	NZ_CP051858.1	1741589	1742191	-	603	22	54	54	43	31	34	50	66	65	73
HIS92_RS08850	NZ_CP051858.1	1742243	1742875	-	633	205	361	207	368	293	321	317	484	292	365
HIS92_RS08855	NZ_CP051858.1	1742948	1743778	-	831	171	289	138	290	343	336	300	438	305	584
HIS92_RS08860	NZ_CP051858.1	1743791	1746424	-	2634	483	689	314	597	612	623	630	959	784	1400
HIS92_RS08865	NZ_CP051858.1	1746710	1748473	-	1764	450	683	318	504	508	568	596	768	544	326
HIS92_RS08870	NZ_CP051858.1	1748466	1749185	-	720	337	712	186	741	481	637	566	798	244	127
HIS92_RS08875	NZ_CP051858.1	1749554	1749733	-	180	1	2	14	12	2	1	1	12	16	6
HIS92_RS08880	NZ_CP051858.1	1750012	1750485	-	474	38	65	65	98	46	40	58	110	86	18
HIS92_RS08885	NZ_CP051858.1	1750701	1751639	-	939	589	974	646	1148	721	917	974	1415	801	368
HIS92_RS08890	NZ_CP051858.1	1751659	1752951	-	1293	489	818	593	1010	790	950	1080	1681	1119	619
HIS92_RS08895	NZ_CP051858.1	1753112	1754260	-	1149	509	795	471	947	887	974	1311	1819	937	391
HIS92_RS08900	NZ_CP051858.1	1754648	1755109	-	462	29	44	44	47	32	54	51	77	65	42
HIS92_RS08905	NZ_CP051858.1	1755607	1756725	+	1119	459	596	306	545	437	648	596	787	473	393
HIS92_RS08910	NZ_CP051858.1	1757315	1757704	-	390	96	139	120	119	60	76	64	113	94	82
HIS92_RS08915	NZ_CP051858.1	1757900	1759657	-	1758	5645	8817	4132	8262	6507	7467	6957	9239	8364	10919
HIS92_RS08920	NZ_CP051858.1	1759711	1760670	-	960	2575	3331	2452	3324	2742	3306	2935	3786	3432	5069
HIS92_RS08925	NZ_CP051858.1	1760799	1761773	-	975	598	882	589	854	830	964	874	1433	1498	2203
HIS92_RS08930	NZ_CP051858.1	1761761	1762630	-	870	527	781	506	770	716	821	707	1261	1512	2107
HIS92_RS08935	NZ_CP051858.1	1762816	1763460	-	645	2847	4424	4277	5271	4691	5728	6050	7537	10585	4352
HIS92_RS08940	NZ_CP051858.1	1763475	1764683	-	1209	4779	8382	7057	9714	8788	11001	11082	14020	16488	8087
HIS92_RS08945	NZ_CP051858.1	1764817	1768143	-	3327	356	449	315	441	375	455	474	631	730	1008
HIS92_RS08950	NZ_CP051858.1	1768261	1768599	+	339	1	0	6	7	0	2	2	13	8	0
HIS92_RS08955	NZ_CP051858.1	1768596	1769099	+	504	4	6	7	4	2	2	0	10	4	0
HIS92_RS08960	NZ_CP051858.1	1769151	1770221	-	1071	372	481	435	498	341	517	402	609	456	521
HIS92_RS08965	NZ_CP051858.1	1770243	1770548	+	306	45	46	49	47	37	47	78	71	50	18
HIS92_RS08970	NZ_CP051858.1	1770557	1770820	-	264	185	206	126	219	220	242	306	352	194	63
HIS92_RS08975	NZ_CP051858.1	1771031	1772344	-	1314	665	858	753	868	1438	1747	1958	2243	1508	567
HIS92_RS08980	NZ_CP051858.1	1772589	1772750	+	162	14	14	14	7	11	7	4	23	22	13
HIS92_RS08985	NZ_CP051858.1	1772791	1773474	-	684	181	285	107	273	170	186	246	273	195	61
HIS92_RS08990	NZ_CP051858.1	1773624	1774721	+	1098	575	671	448	603	507	543	461	697	638	1052
HIS92_RS08995	NZ_CP051858.1	1774752	1775108	-	357	18	13	14	12	9	11	7	11	12	2
HIS92_RS09000	NZ_CP051858.1	1775129	1775503	-	375	2	11	35	13	10	10	4	49	41	6
HIS92_RS09005	NZ_CP051858.1	1775695	1776522	+	828	26	24	13	27	21	27	30	37	47	14
HIS92_RS09010	NZ_CP051858.1	1776536	1776742	-	207	5	2	6	6	3	5	5	10	10	2
HIS92_RS09015	NZ_CP051858.1	1776806	1776943	-	138	7	2	5	6	6	8	7	12	8	0
HIS92_RS09020	NZ_CP051858.1	1777225	1777569	-	345	38	48	93	72	54	70	70	113	88	25
HIS92_RS09025	NZ_CP051858.1	1777572	1778360	-	789	7	22	43	17	9	18	13	31	41	8
HIS92_RS09030	NZ_CP051858.1	1778357	1778689	-	333	1	8	18	5	3	18	11	23	30	6
HIS92_RS09035	NZ_CP051858.1	1778734	1779156	-	423	6	10	6	8	2	11	12	20	12	2
HIS92_RS09040	NZ_CP051858.1	1779404	1780537	-	1134	1333	1730	961	2600	2302	1495	1736	2515	1088	1396
HIS92_RS09045	NZ_CP051858.1	1780751	1781542	-	792	421	619	156	476	322	422	395	483	243	115
HIS92_RS09050	NZ_CP051858.1	1781690	1782148	+	459	8040	13279	4639	12351	7348	9773	10937	10238	4350	944
HIS92_RS09055	NZ_CP051858.1	1782190	1782888	-	699	43	48	44	45	42	64	58	72	99	48
HIS92_RS09060	NZ_CP051858.1	1783133	1783312	+	180	114	90	73	105	49	54	95	76	66	49
HIS92_RS09065	NZ_CP051858.1	1783357	1783710	-	354	35	41	38	32	45	43	68	68	53	18
HIS92_RS09070	NZ_CP051858.1	1783809	1785197	-	1389	76	67	160	289	50	70	115	329	268	140
HIS92_RS09075	NZ_CP051858.1	1785194	1786399	-	1206	45	38	124	138	40	40	97	244	210	79
HIS92_RS09080	NZ_CP051858.1	1786566	1786883	+	318	67	76	30	84	56	80	87	113	44	27
HIS92_RS09085	NZ_CP051858.1	1786912	1787106	-	195	13	11	36	10	12	15	21	36	28	5
HIS92_RS09090	NZ_CP051858.1	1787957	1788619	+	663	4232	6433	3590	6813	3573	4043	4783	5555	4938	2017
HIS92_RS09095	NZ_CP051858.1	1788651	1789484	-	834	376	550	191	531	376	479	583	548	267	66
HIS92_RS09100	NZ_CP051858.1	1789622	1790257	+	636	0	3	3	2	2	3	0	1	2	0
HIS92_RS09105	NZ_CP051858.1	1790329	1790763	+	435	3	1	8	2	1	3	9	7	11	3
HIS92_RS09110	NZ_CP051858.1	1790787	1791980	-	1194	972	1208	806	1526	1725	1841	1990	2773	3373	3286
HIS92_RS09115	NZ_CP051858.1	1792280	1793266	-	987	208	200	264	258	248	261	315	511	580	407
HIS92_RS09120	NZ_CP051858.1	1793466	1793966	-	501	2645	3739	1208	4396	2663	3102	3610	4077	2950	1830
HIS92_RS09125	NZ_CP051858.1	1794101	1794496	-	396	3	11	38	9	2	9	1	20	51	22
HIS92_RS09130	NZ_CP051858.1	1794509	1795147	-	639	4	8	18	7	3	6	1	11	27	13
HIS92_RS09135	NZ_CP051858.1	1795353	1796156	+	804	238	532	157	642	259	417	489	523	391	63
HIS92_RS09140	NZ_CP051858.1	1796274	1797842	-	1569	198	364	114	227	119	88	102	176	197	288
HIS92_RS09145	NZ_CP051858.1	1797912	1798343	-	432	104485	131602	55003	49666	9618	14857	6149	9634	17293	64320
HIS92_RS09150	NZ_CP051858.1	1798446	1800032	-	1587	17	58	57	65	49	63	44	109	134	92
HIS92_RS09155	NZ_CP051858.1	1800206	1800403	-	198	110	97	56	79	93	106	109	171	149	199
HIS92_RS09160	NZ_CP051858.1	1800484	1801698	-	1215	297	401	209	371	381	391	348	639	654	1017
HIS92_RS09165	NZ_CP051858.1	1801705	1802847	-	1143	178	204	102	222	275	263	239	409	385	696
HIS92_RS09170	NZ_CP051858.1	1803081	1804793	-	1713	3926	5569	3313	6019	5250	6465	7390	8251	5892	2141
HIS92_RS09175	NZ_CP051858.1	1805004	1805843	-	840	7	21	45	26	10	11	9	37	53	15
HIS92_RS09180	NZ_CP051858.1	1805968	1806912	+	945	4	2	16	8	1	3	3	13	26	3
HIS92_RS09185	NZ_CP051858.1	1806924	1807562	-	639	10	19	31	22	22	25	26	36	55	12
HIS92_RS09190	NZ_CP051858.1	1807710	1808189	+	480	257	292	107	146	158	200	157	187	344	188
HIS92_RS09195	NZ_CP051858.1	1808252	1809427	-	1176	6	26	72	24	9	16	8	44	54	15
HIS92_RS09200	NZ_CP051858.1	1809826	1810428	+	603	11364	11914	9722	12186	14556	14221	14963	22680	20013	31545
HIS92_RS09205	NZ_CP051858.1	1810641	1811789	+	1149	5	9	17	18	8	9	12	19	19	9
HIS92_RS09210	NZ_CP051858.1	1811877	1812005	-	129	8	7	18	10	13	12	25	41	12	6
HIS92_RS09215	NZ_CP051858.1	1812134	1813390	-	1257	883	1304	422	1352	1089	1128	1456	1998	1710	1429
