Geneid	Chr	Start	End	Strand	Length	pDG7_M-t0-3	pDG7-t0-3	pDG_M-t0-3	pDG-t0-3
HIS92_RS06170	NZ_CP051858.1	1243196	1243813	+	618	789	930	308	919
HIS92_RS06175	NZ_CP051858.1	1244047	1244265	+	219	83	139	26	78
HIS92_RS06180	NZ_CP051858.1	1244462	1244830	+	369	53	48	22	31
HIS92_RS06185	NZ_CP051858.1	1244928	1246640	-	1713	26826	34698	9135	31395
HIS92_RS06190	NZ_CP051858.1	1246640	1246903	-	264	2387	4917	1131	4568
HIS92_RS06195	NZ_CP051858.1	1247040	1249103	-	2064	8963	15154	2585	13229
HIS92_RS06200	NZ_CP051858.1	1249443	1250291	-	849	1203	1487	603	1468
HIS92_RS06205	NZ_CP051858.1	1250457	1251263	+	807	2138	2043	974	1838
HIS92_RS06210	NZ_CP051858.1	1251337	1252068	-	732	4476	6230	1934	5731
HIS92_RS06215	NZ_CP051858.1	1251998	1252786	-	789	2337	4913	1456	4590
HIS92_RS06220	NZ_CP051858.1	1252791	1253933	-	1143	327	701	232	688
HIS92_RS06225	NZ_CP051858.1	1254145	1255047	-	903	11	43	7	37
HIS92_RS06230	NZ_CP051858.1	1255126	1255698	-	573	445	460	68	429
HIS92_RS06235	NZ_CP051858.1	1255857	1256600	-	744	744	917	178	972
HIS92_RS06240	NZ_CP051858.1	1256770	1256865	+	96	1	1	0	0
HIS92_RS06245	NZ_CP051858.1	1256965	1257483	+	519	154	170	31	173
HIS92_RS06250	NZ_CP051858.1	1257504	1257872	-	369	1218	1295	345	1184
HIS92_RS06255	NZ_CP051858.1	1258335	1258772	-	438	11347	14208	4905	12689
HIS92_RS06260	NZ_CP051858.1	1258960	1259826	+	867	2146	3482	557	2886
HIS92_RS06265	NZ_CP051858.1	1259858	1260661	-	804	77	92	22	98
HIS92_RS06270	NZ_CP051858.1	1260759	1262231	-	1473	17	24	15	29
HIS92_RS06275	NZ_CP051858.1	1262218	1262787	-	570	0	6	4	4
HIS92_RS06280	NZ_CP051858.1	1262793	1263143	-	351	0	1	1	2
HIS92_RS06285	NZ_CP051858.1	1263147	1264163	-	1017	2	0	5	0
HIS92_RS06290	NZ_CP051858.1	1264177	1264635	-	459	0	0	1	0
HIS92_RS06295	NZ_CP051858.1	1264650	1265066	-	417	1	0	0	0
HIS92_RS06300	NZ_CP051858.1	1265059	1265679	-	621	0	0	0	0
HIS92_RS06305	NZ_CP051858.1	1265795	1265893	-	99	0	0	0	0
HIS92_RS06310	NZ_CP051858.1	1265893	1267419	-	1527	5	28	20	17
HIS92_RS06315	NZ_CP051858.1	1267556	1268314	-	759	39	54	10	54
HIS92_RS06320	NZ_CP051858.1	1268327	1268767	-	441	19	48	4	44
HIS92_RS06325	NZ_CP051858.1	1268768	1269118	-	351	9	32	4	22
HIS92_RS06330	NZ_CP051858.1	1269288	1270478	-	1191	4	1	9	4
HIS92_RS06335	NZ_CP051858.1	1270645	1271064	+	420	23	55	8	47
HIS92_RS06340	NZ_CP051858.1	1271030	1271911	+	882	52	152	17	94
HIS92_RS06345	NZ_CP051858.1	1271901	1272968	+	1068	58	118	19	121
HIS92_RS06350	NZ_CP051858.1	1272981	1274066	+	1086	106	153	40	171
HIS92_RS06355	NZ_CP051858.1	1274086	1274631	-	546	1	6	1	3
HIS92_RS06360	NZ_CP051858.1	1274731	1275150	-	420	753	1700	455	1818
HIS92_RS06365	NZ_CP051858.1	1275310	1275981	+	672	4	9	5	8
HIS92_RS06370	NZ_CP051858.1	1276116	1277405	+	1290	1939	2480	937	2074
HIS92_RS06375	NZ_CP051858.1	1277437	1278399	-	963	949	1132	651	1062
HIS92_RS06380	NZ_CP051858.1	1278460	1279764	-	1305	9785	8349	5446	7854
HIS92_RS06385	NZ_CP051858.1	1279772	1280593	-	822	4967	4313	2724	4097
HIS92_RS06390	NZ_CP051858.1	1280606	1281790	-	1185	7738	7940	4275	6904
HIS92_RS06395	NZ_CP051858.1	1282146	1282886	-	741	245	280	147	327
HIS92_RS06400	NZ_CP051858.1	1283033	1283923	-	891	339	370	128	417
HIS92_RS06405	NZ_CP051858.1	1283930	1284160	-	231	18	6	10	10
HIS92_RS06410	NZ_CP051858.1	1284264	1284719	-	456	2556	2257	756	2366
HIS92_RS06415	NZ_CP051858.1	1284826	1285473	-	648	130	99	59	104
HIS92_RS06420	NZ_CP051858.1	1285599	1286150	+	552	2126	2944	586	2746
HIS92_RS06425	NZ_CP051858.1	1286174	1286713	-	540	649	718	176	668
HIS92_RS06430	NZ_CP051858.1	1286788	1286922	+	135	0	0	0	2
HIS92_RS06435	NZ_CP051858.1	1287034	1287948	+	915	878	1355	283	1266
HIS92_RS06440	NZ_CP051858.1	1288006	1288833	-	828	781	916	487	690
HIS92_RS06445	NZ_CP051858.1	1288962	1289486	-	525	27	14	10	28
HIS92_RS06450	NZ_CP051858.1	1289553	1289816	-	264	29	37	33	18
HIS92_RS06455	NZ_CP051858.1	1290017	1291606	+	1590	196	210	256	245
HIS92_RS06460	NZ_CP051858.1	1291731	1292207	-	477	14	10	10	11
HIS92_RS06465	NZ_CP051858.1	1292329	1293327	+	999	149	175	67	216
HIS92_RS06470	NZ_CP051858.1	1293459	1294778	+	1320	557	658	207	500
HIS92_RS06475	NZ_CP051858.1	1294803	1295666	-	864	45	35	157	26
HIS92_RS06480	NZ_CP051858.1	1295766	1296248	-	483	2	9	2	0
HIS92_RS06485	NZ_CP051858.1	1296330	1297253	+	924	582	937	324	768
HIS92_RS06490	NZ_CP051858.1	1297264	1297509	-	246	112	140	44	169
HIS92_RS06495	NZ_CP051858.1	1297649	1297855	+	207	23	25	4	12
HIS92_RS06500	NZ_CP051858.1	1298495	1299607	+	1113	1000	643	202	536
HIS92_RS06505	NZ_CP051858.1	1299589	1300233	+	645	362	261	96	201
HIS92_RS06510	NZ_CP051858.1	1300246	1301439	+	1194	1033	658	223	494
HIS92_RS06515	NZ_CP051858.1	1301458	1301919	+	462	542	256	84	205
HIS92_RS06520	NZ_CP051858.1	1301942	1302262	-	321	5	3	4	4
HIS92_RS06525	NZ_CP051858.1	1302445	1303443	-	999	12	8	9	6
HIS92_RS06530	NZ_CP051858.1	1303445	1304254	-	810	0	2	6	1
HIS92_RS06535	NZ_CP051858.1	1304220	1304960	-	741	2	5	22	4
HIS92_RS06540	NZ_CP051858.1	1304957	1306144	-	1188	3	1	21	2
HIS92_RS06545	NZ_CP051858.1	1306110	1306838	-	729	1	5	0	2
HIS92_RS06550	NZ_CP051858.1	1306838	1308271	-	1434	4	3	2	9
HIS92_RS06555	NZ_CP051858.1	1308349	1308705	-	357	1	1	4	1
HIS92_RS06560	NZ_CP051858.1	1309346	1310719	+	1374	304	250	289	244
HIS92_RS06565	NZ_CP051858.1	1310768	1313095	-	2328	1083	2359	689	2298
HIS92_RS06570	NZ_CP051858.1	1313461	1314240	+	780	74	90	39	143
HIS92_RS06575	NZ_CP051858.1	1314313	1314759	+	447	1212	1719	591	1517
HIS92_RS06580	NZ_CP051858.1	1314784	1314999	-	216	99	53	26	38
HIS92_RS06585	NZ_CP051858.1	1315057	1315617	-	561	75	128	25	128
HIS92_RS06590	NZ_CP051858.1	1315756	1316706	-	951	11	4	7	1
HIS92_RS06595	NZ_CP051858.1	1316719	1317879	-	1161	2	3	1	3
HIS92_RS06600	NZ_CP051858.1	1317876	1318643	-	768	4	0	2	2
HIS92_RS06605	NZ_CP051858.1	1318655	1319878	-	1224	5	2	4	1
HIS92_RS06610	NZ_CP051858.1	1319889	1320926	-	1038	3	6	3	4
HIS92_RS06615	NZ_CP051858.1	1321151	1321339	+	189	1	4	8	1
HIS92_RS06620	NZ_CP051858.1	1321369	1322163	-	795	291	331	138	329
HIS92_RS06625	NZ_CP051858.1	1322173	1323126	-	954	15	25	12	16
HIS92_RS06630	NZ_CP051858.1	1323292	1324131	+	840	1	2	7	2
HIS92_RS06635	NZ_CP051858.1	1324178	1325056	-	879	1962	2006	486	1856
HIS92_RS06640	NZ_CP051858.1	1325075	1325734	-	660	628	718	148	725
HIS92_RS06645	NZ_CP051858.1	1325775	1326045	-	271	214	250	54	313
HIS92_RS06650	NZ_CP051858.1	1326407	1327330	-	924	440	579	153	610
HIS92_RS06655	NZ_CP051858.1	1327520	1327771	+	252	30	29	9	21
HIS92_RS06660	NZ_CP051858.1	1327806	1328276	-	471	7	3	9	5
HIS92_RS06665	NZ_CP051858.1	1329164	1331869	+	2706	138	156	36	134
HIS92_RS06670	NZ_CP051858.1	1331943	1332644	+	702	60	52	11	46
HIS92_RS06675	NZ_CP051858.1	1332685	1333923	-	1239	532	132	640	258
HIS92_RS06680	NZ_CP051858.1	1334034	1334189	+	156	0	1	1	4
HIS92_RS06685	NZ_CP051858.1	1334285	1335403	-	1119	5301	7142	3011	6614
HIS92_RS06690	NZ_CP051858.1	1335531	1336076	-	546	84	216	27	137
HIS92_RS06695	NZ_CP051858.1	1336266	1336358	+	93	0	0	0	0
HIS92_RS06700	NZ_CP051858.1	1336431	1336670	-	240	2	0	0	0
HIS92_RS06705	NZ_CP051858.1	1336737	1337297	-	561	109	160	64	168
HIS92_RS06710	NZ_CP051858.1	1337314	1338282	-	969	82	157	75	209
HIS92_RS06715	NZ_CP051858.1	1338383	1339105	-	723	161	43	18	9
HIS92_RS06720	NZ_CP051858.1	1339098	1339757	-	660	84	22	7	6
HIS92_RS06725	NZ_CP051858.1	1339794	1340573	-	780	202	71	18	19
HIS92_RS06730	NZ_CP051858.1	1340826	1341239	-	414	1049	1381	303	1154
HIS92_RS06735	NZ_CP051858.1	1341384	1341791	-	408	294	554	219	548
HIS92_RS06740	NZ_CP051858.1	1341913	1342404	-	492	42	71	16	99
HIS92_RS06745	NZ_CP051858.1	1342448	1343152	-	705	2	0	0	1
HIS92_RS06750	NZ_CP051858.1	1343260	1344438	-	1179	1697	2240	400	2176
HIS92_RS06755	NZ_CP051858.1	1344780	1346075	-	1296	1621	2905	895	2653
HIS92_RS06760	NZ_CP051858.1	1346091	1347074	-	984	326	794	243	695
HIS92_RS06765	NZ_CP051858.1	1347088	1348089	-	1002	577	1048	291	822
HIS92_RS06770	NZ_CP051858.1	1348117	1349538	-	1422	1059	2024	526	1792
HIS92_RS06775	NZ_CP051858.1	1349543	1350646	-	1104	855	1595	459	1302
HIS92_RS06780	NZ_CP051858.1	1350734	1351834	-	1101	2116	3224	997	2962
HIS92_RS06785	NZ_CP051858.1	1351869	1352768	-	900	1570	2746	783	2347
HIS92_RS06790	NZ_CP051858.1	1352964	1355036	-	2073	29	51	15	42
HIS92_RS06795	NZ_CP051858.1	1355173	1355406	+	234	5	8	0	5
HIS92_RS06800	NZ_CP051858.1	1355456	1356184	-	729	215	253	89	256
HIS92_RS06805	NZ_CP051858.1	1356235	1356381	+	147	3	9	0	14
HIS92_RS06810	NZ_CP051858.1	1356595	1357158	-	564	1	13	2	12
HIS92_RS06815	NZ_CP051858.1	1357412	1357507	-	96	80	82	7	64
HIS92_RS06820	NZ_CP051858.1	1357679	1358401	-	723	81	150	32	118
HIS92_RS06825	NZ_CP051858.1	1358558	1359919	-	1362	43	105	13	114
HIS92_RS06830	NZ_CP051858.1	1360018	1360698	-	681	0	1	0	0
HIS92_RS06835	NZ_CP051858.1	1361068	1361886	+	819	140	505	18	361
HIS92_RS06840	NZ_CP051858.1	1361945	1363101	-	1157	28	18	21	26
HIS92_RS06845	NZ_CP051858.1	1363210	1364130	-	921	2	6	1	1
HIS92_RS06850	NZ_CP051858.1	1365196	1365771	+	576	49	101	28	93
HIS92_RS06855	NZ_CP051858.1	1366083	1366355	-	273	0	0	0	1
HIS92_RS06860	NZ_CP051858.1	1366368	1366997	-	630	0	0	0	1
HIS92_RS06865	NZ_CP051858.1	1367012	1367389	-	378	0	0	0	0
HIS92_RS06870	NZ_CP051858.1	1367382	1367657	-	276	0	0	0	0
HIS92_RS06875	NZ_CP051858.1	1368911	1369729	-	819	2	5	0	5
HIS92_RS06880	NZ_CP051858.1	1370828	1371799	-	972	5	6	2	8
HIS92_RS06885	NZ_CP051858.1	1371965	1372759	-	795	1583	2572	433	2437
HIS92_RS06890	NZ_CP051858.1	1373049	1374347	-	1299	88	52	21	54
HIS92_RS06895	NZ_CP051858.1	1374466	1376205	-	1740	1035	874	283	1087
HIS92_RS06900	NZ_CP051858.1	1376470	1376919	-	450	1586	2459	511	2177
HIS92_RS06905	NZ_CP051858.1	1377062	1377901	-	840	2068	2243	648	1881
HIS92_RS06910	NZ_CP051858.1	1377905	1379797	-	1893	3467	4774	1467	4640
HIS92_RS06915	NZ_CP051858.1	1380099	1380989	-	891	953	1493	273	1302
HIS92_RS06920	NZ_CP051858.1	1380989	1381219	-	231	251	409	90	348
HIS92_RS06925	NZ_CP051858.1	1381209	1382567	-	1359	1702	2897	632	2623
HIS92_RS06930	NZ_CP051858.1	1382594	1383454	-	861	1691	3018	570	2997
HIS92_RS06935	NZ_CP051858.1	1383478	1383870	-	393	547	1212	221	1330
HIS92_RS06940	NZ_CP051858.1	1384217	1384609	-	393	5562	6766	2181	5795
HIS92_RS06945	NZ_CP051858.1	1384632	1385984	-	1353	10811	16152	4896	13663
HIS92_RS06950	NZ_CP051858.1	1386001	1386489	-	489	2521	5352	825	4448
HIS92_RS06955	NZ_CP051858.1	1386959	1387153	+	195	3	4	2	2
HIS92_RS06960	NZ_CP051858.1	1387266	1387910	-	645	19	22	18	34
HIS92_RS06965	NZ_CP051858.1	1387926	1388588	-	663	10	5	10	8
HIS92_RS06970	NZ_CP051858.1	1388578	1389210	-	633	5	5	5	5
HIS92_RS06975	NZ_CP051858.1	1389223	1390395	-	1173	2	5	3	4
HIS92_RS06980	NZ_CP051858.1	1390406	1390741	-	336	0	0	1	0
HIS92_RS06985	NZ_CP051858.1	1390813	1391016	-	204	0	0	0	0
HIS92_RS06990	NZ_CP051858.1	1391031	1391546	-	516	1	0	1	0
HIS92_RS06995	NZ_CP051858.1	1391540	1392466	-	927	3	0	7	2
HIS92_RS07000	NZ_CP051858.1	1392494	1392775	-	282	2	0	2	0
HIS92_RS07005	NZ_CP051858.1	1392967	1393545	+	579	0	10	1	10
HIS92_RS07010	NZ_CP051858.1	1393526	1393846	+	321	0	3	4	3
HIS92_RS07015	NZ_CP051858.1	1393883	1394440	-	558	7768	8356	2943	7942
HIS92_RS07020	NZ_CP051858.1	1394462	1395523	-	1062	7292	10264	3603	9888
HIS92_RS07025	NZ_CP051858.1	1395528	1395968	-	441	19	38	11	37
HIS92_RS07030	NZ_CP051858.1	1396020	1396508	-	489	0	1	0	0
HIS92_RS07035	NZ_CP051858.1	1396753	1397673	+	921	694	1127	323	1155
HIS92_RS07040	NZ_CP051858.1	1397753	1398154	+	402	535	613	212	619
HIS92_RS07045	NZ_CP051858.1	1398151	1398813	-	663	837	468	115	505
HIS92_RS07050	NZ_CP051858.1	1398868	1399296	-	429	1202	1087	274	1118
HIS92_RS07055	NZ_CP051858.1	1399441	1400466	-	1026	9	2	5	4
HIS92_RS07060	NZ_CP051858.1	1400623	1400940	+	318	9	94	42	61
HIS92_RS07065	NZ_CP051858.1	1400946	1401617	+	672	21	74	47	50
HIS92_RS07070	NZ_CP051858.1	1401818	1402660	+	843	3252	2268	765	2355
HIS92_RS07075	NZ_CP051858.1	1402689	1403525	-	837	1834	1926	882	1919
HIS92_RS07080	NZ_CP051858.1	1403696	1404079	+	384	2899	2827	990	3347
HIS92_RS07085	NZ_CP051858.1	1404120	1404656	-	537	9	6	2	4
HIS92_RS07090	NZ_CP051858.1	1405047	1406024	+	978	430	420	320	347
HIS92_RS07095	NZ_CP051858.1	1406121	1406702	+	582	7904	11096	4888	13578
HIS92_RS07100	NZ_CP051858.1	1406774	1407106	+	333	4626	5867	3552	8370
HIS92_RS07105	NZ_CP051858.1	1407108	1407422	+	315	4683	6351	3897	8714
HIS92_RS07110	NZ_CP051858.1	1407438	1407695	+	258	3781	2682	1751	3556
HIS92_RS07115	NZ_CP051858.1	1407712	1407900	-	189	1	9	3	5
HIS92_RS07120	NZ_CP051858.1	1408190	1408381	-	192	21	27	4	21
HIS92_RS07125	NZ_CP051858.1	1408452	1408655	-	204	2	5	0	1
HIS92_RS07130	NZ_CP051858.1	1408947	1410422	-	1476	253	649	256	594
HIS92_RS07135	NZ_CP051858.1	1410419	1411762	-	1344	227	660	226	578
HIS92_RS07140	NZ_CP051858.1	1411783	1412883	-	1101	206	710	243	604
HIS92_RS07145	NZ_CP051858.1	1413273	1414955	+	1683	8	7	20	7
HIS92_RS07150	NZ_CP051858.1	1414942	1415739	+	798	4	4	7	5
HIS92_RS07155	NZ_CP051858.1	1416004	1416231	-	228	209	197	64	224
HIS92_RS07160	NZ_CP051858.1	1416305	1416421	+	117	0	0	0	1
HIS92_RS07165	NZ_CP051858.1	1416563	1417195	+	633	65	113	26	100
HIS92_RS07170	NZ_CP051858.1	1417261	1417461	-	201	28	19	10	14
HIS92_RS07175	NZ_CP051858.1	1417500	1417997	-	498	68	100	36	79
HIS92_RS07180	NZ_CP051858.1	1418113	1418763	-	651	73	97	33	125
HIS92_RS07185	NZ_CP051858.1	1418938	1419309	-	372	3	2	5	4
HIS92_RS07190	NZ_CP051858.1	1419306	1419776	-	471	10	9	7	6
HIS92_RS07195	NZ_CP051858.1	1419746	1420048	-	303	4	3	2	0
HIS92_RS07200	NZ_CP051858.1	1420041	1420496	-	456	1	13	11	8
HIS92_RS07205	NZ_CP051858.1	1420493	1420792	-	300	3	3	5	1
HIS92_RS07210	NZ_CP051858.1	1420804	1421835	-	1032	8	9	13	6
HIS92_RS07215	NZ_CP051858.1	1421828	1422871	-	1044	13	17	6	9
HIS92_RS07220	NZ_CP051858.1	1423077	1423772	+	696	578	1808	39	1073
HIS92_RS07225	NZ_CP051858.1	1423899	1424141	+	243	16	19	4	13
HIS92_RS07230	NZ_CP051858.1	1424249	1425643	+	1395	6253	2084	237	77
HIS92_RS07235	NZ_CP051858.1	1425723	1426115	-	393	6	5	1	6
HIS92_RS07240	NZ_CP051858.1	1426203	1426418	-	216	3	10	3	2
HIS92_RS07245	NZ_CP051858.1	1426672	1426983	+	312	441	547	108	357
HIS92_RS07250	NZ_CP051858.1	1427018	1427506	-	489	269	279	86	287
HIS92_RS07255	NZ_CP051858.1	1427585	1427959	-	375	146	127	40	176
HIS92_RS07260	NZ_CP051858.1	1428055	1428315	-	261	236	298	83	318
HIS92_RS07265	NZ_CP051858.1	1428510	1429568	-	1059	55	80	24	34
HIS92_RS07270	NZ_CP051858.1	1429587	1432985	-	3399	5	1	5	7
HIS92_RS07275	NZ_CP051858.1	1432985	1434817	-	1833	0	1	1	1
HIS92_RS07280	NZ_CP051858.1	1435406	1436518	+	1113	1	1	0	5
HIS92_RS07285	NZ_CP051858.1	1436515	1437678	+	1164	1	5	1	7
HIS92_RS07290	NZ_CP051858.1	1437845	1438357	+	513	46	153	9	144
HIS92_RS07295	NZ_CP051858.1	1438791	1439081	+	291	1507	2314	812	1927
HIS92_RS07300	NZ_CP051858.1	1439225	1440337	-	1113	1006	1239	353	1112
HIS92_RS07305	NZ_CP051858.1	1440347	1440976	-	630	413	769	172	630
HIS92_RS07310	NZ_CP051858.1	1441146	1441319	+	174	9	15	15	13
HIS92_RS07315	NZ_CP051858.1	1441400	1442383	-	984	1561	1828	641	1853
HIS92_RS07320	NZ_CP051858.1	1442403	1442603	-	201	33	265	102	350
HIS92_RS07325	NZ_CP051858.1	1442707	1443285	-	579	173	132	33	111
HIS92_RS07330	NZ_CP051858.1	1443389	1443538	-	150	601	400	156	463
HIS92_RS07335	NZ_CP051858.1	1443608	1445962	-	2355	36	62	10	26
HIS92_RS07340	NZ_CP051858.1	1446303	1446959	-	657	3	9	5	17
HIS92_RS07345	NZ_CP051858.1	1447246	1448061	-	816	24	58	28	26
HIS92_RS07350	NZ_CP051858.1	1448090	1448956	-	867	28	58	19	16
HIS92_RS07355	NZ_CP051858.1	1448958	1449908	-	951	26	37	28	19
HIS92_RS07360	NZ_CP051858.1	1449936	1450853	-	918	74	116	80	41
HIS92_RS07365	NZ_CP051858.1	1451185	1453311	-	2127	5969	6651	1283	6060
HIS92_RS07370	NZ_CP051858.1	1453421	1454698	-	1278	61	54	28	40
HIS92_RS07375	NZ_CP051858.1	1454815	1455426	-	612	13147	12068	5903	11470
HIS92_RS07380	NZ_CP051858.1	1455648	1455721	-	74	8	32	8	25
HIS92_RS07385	NZ_CP051858.1	1455964	1456722	+	759	1357	1427	380	1447
HIS92_RS07390	NZ_CP051858.1	1456788	1457153	+	366	26	28	7	22
HIS92_RS07395	NZ_CP051858.1	1457318	1458421	+	1104	4611	5252	1489	5142
HIS92_RS07400	NZ_CP051858.1	1458501	1458914	-	414	284	306	78	236
HIS92_RS07405	NZ_CP051858.1	1458928	1459761	-	834	229	401	103	320
HIS92_RS07410	NZ_CP051858.1	1459761	1460531	-	771	286	411	99	394
HIS92_RS07415	NZ_CP051858.1	1460711	1461589	-	879	310	346	114	295
HIS92_RS07420	NZ_CP051858.1	1461739	1461993	+	255	0	2	3	0
HIS92_RS07425	NZ_CP051858.1	1462012	1462908	-	897	1470	1168	404	1229
HIS92_RS07430	NZ_CP051858.1	1463077	1464387	-	1311	3184	2630	1004	2341
HIS92_RS07435	NZ_CP051858.1	1464569	1465288	+	720	0	1	2	4
HIS92_RS07440	NZ_CP051858.1	1465378	1466328	+	951	2656	2592	824	2427
HIS92_RS07445	NZ_CP051858.1	1466369	1467490	-	1122	280	452	191	450
HIS92_RS07450	NZ_CP051858.1	1467487	1468194	-	708	126	238	62	211
HIS92_RS07455	NZ_CP051858.1	1468360	1468716	-	357	27	26	16	15
HIS92_RS07460	NZ_CP051858.1	1469103	1470230	-	1128	8697	7375	2785	6693
HIS92_RS07465	NZ_CP051858.1	1470290	1472086	-	1797	6386	7915	2249	7252
HIS92_RS07470	NZ_CP051858.1	1472168	1472311	-	144	584	691	196	668
HIS92_RS07475	NZ_CP051858.1	1472947	1473759	-	813	2287	2619	717	2295
HIS92_RS07480	NZ_CP051858.1	1473789	1474421	-	633	1448	1961	560	1798
HIS92_RS07485	NZ_CP051858.1	1474529	1475275	-	747	1197	992	458	849
HIS92_RS07490	NZ_CP051858.1	1475309	1475452	-	144	278	367	191	357
HIS92_RS07495	NZ_CP051858.1	1475629	1476534	-	906	3440	3545	1432	3445
HIS92_RS07500	NZ_CP051858.1	1476527	1476925	-	399	474	411	206	413
HIS92_RS07505	NZ_CP051858.1	1477025	1477378	-	354	22	24	6	23
HIS92_RS07510	NZ_CP051858.1	1477375	1477845	-	471	225	480	94	395
HIS92_RS07515	NZ_CP051858.1	1477842	1479986	-	2145	728	1366	252	1241
HIS92_RS07520	NZ_CP051858.1	1480181	1481140	-	960	618	1236	169	1182
HIS92_RS07525	NZ_CP051858.1	1481144	1482343	-	1200	9	14	12	12
HIS92_RS07530	NZ_CP051858.1	1482491	1482784	-	294	9	5	10	0
HIS92_RS07535	NZ_CP051858.1	1483200	1483830	+	631	10	4	10	8
HIS92_RS07540	NZ_CP051858.1	1483967	1484410	-	444	31613	23492	7573	20995
HIS92_RS07545	NZ_CP051858.1	1484426	1484599	-	174	3675	46729	13880	43265
HIS92_RS07550	NZ_CP051858.1	1484921	1486273	-	1353	3766	3762	1469	3271
HIS92_RS07555	NZ_CP051858.1	1486280	1487029	-	750	1498	1666	578	1454
HIS92_RS07560	NZ_CP051858.1	1487174	1488112	-	939	3422	3057	1293	2684
HIS92_RS07565	NZ_CP051858.1	1488141	1489256	-	1116	3590	3936	1901	3688
HIS92_RS07570	NZ_CP051858.1	1489461	1491296	-	1836	42545	45657	23806	45208
HIS92_RS07575	NZ_CP051858.1	1491323	1491889	-	567	9326	11632	4568	11808
HIS92_RS07580	NZ_CP051858.1	1492004	1493020	-	1017	5365	6000	2737	7284
HIS92_RS07585	NZ_CP051858.1	1493154	1494293	-	1140	471	526	229	462
HIS92_RS07590	NZ_CP051858.1	1494345	1494719	-	375	138	159	53	133
HIS92_RS07595	NZ_CP051858.1	1494850	1496673	-	1824	6689	9728	2171	9011
HIS92_RS07600	NZ_CP051858.1	1496884	1497249	-	366	9	8	6	9
HIS92_RS07605	NZ_CP051858.1	1497246	1498349	-	1104	9	10	8	12
HIS92_RS07610	NZ_CP051858.1	1498530	1498787	+	258	2921	2665	872	2678
HIS92_RS07615	NZ_CP051858.1	1498873	1499883	-	1011	220	272	160	252
HIS92_RS07620	NZ_CP051858.1	1500229	1500363	+	135	10	14	14	12
HIS92_RS07625	NZ_CP051858.1	1500395	1502716	-	2322	203	204	210	200
HIS92_RS07630	NZ_CP051858.1	1502731	1503288	-	558	340	490	211	498
HIS92_RS07635	NZ_CP051858.1	1503352	1503951	-	600	52	50	26	65
HIS92_RS07640	NZ_CP051858.1	1504029	1504856	+	828	0	1	3	1
HIS92_RS07645	NZ_CP051858.1	1505177	1505926	-	750	1242	1253	516	1229
HIS92_RS07650	NZ_CP051858.1	1505923	1506279	-	357	217	505	166	528
HIS92_RS07655	NZ_CP051858.1	1506276	1506845	-	570	480	708	201	642
HIS92_RS07660	NZ_CP051858.1	1506835	1507404	-	570	662	778	242	681
HIS92_RS07665	NZ_CP051858.1	1507542	1507835	-	294	414	449	97	366
HIS92_RS07670	NZ_CP051858.1	1507841	1508674	-	834	933	1211	370	1139
HIS92_RS07675	NZ_CP051858.1	1508690	1509796	-	1107	1090	1406	413	1243
HIS92_RS07680	NZ_CP051858.1	1509800	1510312	-	513	642	906	224	930
HIS92_RS07685	NZ_CP051858.1	1510559	1510714	+	156	32	40	4	48
HIS92_RS07690	NZ_CP051858.1	1510900	1511688	-	789	632	1010	243	1034
HIS92_RS07695	NZ_CP051858.1	1511979	1512692	-	714	15	12	20	16
HIS92_RS07700	NZ_CP051858.1	1512875	1513768	+	894	17	80	14	55
HIS92_RS07705	NZ_CP051858.1	1513818	1515311	-	1494	20	29	11	26
HIS92_RS07710	NZ_CP051858.1	1515400	1515549	-	150	30	2	0	5
HIS92_RS07715	NZ_CP051858.1	1515696	1516322	-	627	862	1127	363	1022
HIS92_RS07720	NZ_CP051858.1	1516672	1517322	+	651	1529	3040	358	1969
HIS92_RS07725	NZ_CP051858.1	1517400	1517867	-	468	2	4	2	1
HIS92_RS07730	NZ_CP051858.1	1517922	1519307	-	1386	23	19	16	22
HIS92_RS07735	NZ_CP051858.1	1519569	1520402	+	834	24	107	53	77
HIS92_RS07740	NZ_CP051858.1	1520418	1521302	+	885	239	376	176	428
HIS92_RS07745	NZ_CP051858.1	1521344	1521844	-	501	658	918	188	938
HIS92_RS07750	NZ_CP051858.1	1522109	1522645	-	537	0	3	1	3
HIS92_RS07755	NZ_CP051858.1	1522664	1523266	-	603	1	3	1	0
HIS92_RS07760	NZ_CP051858.1	1523435	1523773	+	339	31	41	29	49
HIS92_RS07765	NZ_CP051858.1	1523843	1523965	+	123	35	8	3	2
HIS92_RS07770	NZ_CP051858.1	1524005	1525243	-	1239	9	14	11	18
HIS92_RS07775	NZ_CP051858.1	1525473	1528226	+	2754	47	69	18	59
HIS92_RS07780	NZ_CP051858.1	1529117	1530871	+	1755	165	101	25	90
HIS92_RS07785	NZ_CP051858.1	1530852	1531166	+	315	32	3	3	13
HIS92_RS07790	NZ_CP051858.1	1531182	1532039	-	858	371	454	258	517
HIS92_RS07795	NZ_CP051858.1	1532062	1532466	-	405	24	22	20	26
HIS92_RS07800	NZ_CP051858.1	1532623	1533168	+	546	186	259	61	279
HIS92_RS07805	NZ_CP051858.1	1533206	1533583	-	378	2	2	0	3
HIS92_RS07810	NZ_CP051858.1	1533705	1534163	-	459	0	6	0	5
HIS92_RS07815	NZ_CP051858.1	1534232	1534795	-	564	0	1	1	3
