Geneid	Chr	Start	End	Strand	Length	G-t0-1	G-t0-2	G-t5-1	G-t5-2	G-t10-1	G-t10-2	G-t20-1	G-t20-2	G-t30-1	G-t30-2	G_M-t5-1	G_M-t5-2	G_M-t10-1	G_M-t10-2	G_M-t20-1	G_M-t20-2	G_M-t30-1	G_M-t30-2
HIS92_RS05720	NZ_CP051858.1	1163308	1164111	-	804	204	173	186	163	166	176	203	167	211	151	163	155	191	161	175	305	207	255
HIS92_RS05725	NZ_CP051858.1	1164200	1164388	-	189	6	3	0	3	1	0	3	0	3	2	1	2	5	1	4	1	4	4
HIS92_RS05730	NZ_CP051858.1	1164594	1165220	+	627	212	283	301	433	346	288	448	299	220	282	223	265	355	253	433	366	313	396
HIS92_RS05735	NZ_CP051858.1	1165301	1165570	-	270	125	72	138	65	141	103	138	55	154	92	99	59	124	70	127	113	69	45
HIS92_RS05740	NZ_CP051858.1	1165938	1167410	+	1473	1698	1493	1662	1464	1901	1602	1988	1293	1640	1272	1579	1058	1783	971	1627	1663	1157	1201
HIS92_RS05745	NZ_CP051858.1	1167486	1168316	+	831	5	2	5	4	2	1	5	1	5	0	8	0	2	2	2	2	2	3
HIS92_RS05750	NZ_CP051858.1	1168353	1168481	-	129	1	0	1	3	0	1	2	1	1	0	0	3	3	0	3	0	0	1
HIS92_RS05755	NZ_CP051858.1	1168526	1168654	-	129	0	3	1	0	3	2	0	4	1	2	1	0	1	3	3	3	2	2
HIS92_RS05760	NZ_CP051858.1	1168714	1168842	-	129	2	4	5	4	3	6	4	3	1	6	0	3	4	2	1	6	0	2
HIS92_RS05765	NZ_CP051858.1	1169038	1169334	-	297	5	5	7	1	6	6	8	2	11	5	3	3	5	7	6	9	8	3
HIS92_RS05770	NZ_CP051858.1	1169465	1169857	+	393	0	10	2	7	11	6	9	5	5	1	8	7	5	3	6	6	4	4
HIS92_RS05775	NZ_CP051858.1	1169859	1170086	-	228	1	0	0	0	6	2	1	0	0	0	0	0	0	0	0	0	1	0
HIS92_RS05780	NZ_CP051858.1	1170319	1171731	-	1413	18417	35796	38320	34344	53049	34792	58617	23640	23889	26142	29244	17848	54061	15907	46659	23614	36188	22598
HIS92_RS05785	NZ_CP051858.1	1171737	1173023	-	1287	13724	27186	31430	27341	43752	27892	50785	18441	17426	21153	23735	12303	44806	10770	39726	17328	29617	16226
HIS92_RS05790	NZ_CP051858.1	1173117	1174094	-	978	14171	31606	34912	26481	48430	31529	51291	19389	17363	21605	23489	16114	49409	12967	37300	18804	32119	17596
HIS92_RS05795	NZ_CP051858.1	1174098	1175213	-	1116	11922	22850	28058	25789	39098	24221	45570	16605	14675	18982	21004	10400	41132	9266	40137	15244	24997	14080
HIS92_RS05800	NZ_CP051858.1	1175728	1175874	+	147	0	0	0	1	0	0	1	1	0	1	0	4	1	1	1	1	2	0
HIS92_RS05805	NZ_CP051858.1	1176043	1176597	+	555	109	136	165	276	249	198	265	134	109	160	152	99	211	80	265	180	137	136
HIS92_RS05810	NZ_CP051858.1	1176658	1177431	-	774	1012	611	887	565	867	646	959	588	1113	635	723	490	886	558	755	957	734	761
HIS92_RS05815	NZ_CP051858.1	1177979	1178191	+	213	596	732	704	753	907	680	1179	616	727	697	616	578	891	537	834	913	630	724
HIS92_RS05820	NZ_CP051858.1	1178196	1179863	+	1668	7320	9029	8242	8259	10654	9028	11657	6713	7432	7160	6984	5430	10897	5538	9619	9027	7493	7534
HIS92_RS05825	NZ_CP051858.1	1179907	1180572	-	666	201	269	305	289	345	317	330	298	241	243	202	281	271	300	252	374	243	299
HIS92_RS05830	NZ_CP051858.1	1180655	1181521	-	867	101	206	185	199	212	235	291	235	197	186	127	209	200	192	193	272	139	214
HIS92_RS05835	NZ_CP051858.1	1181769	1182899	-	1131	448	491	472	526	504	493	580	414	485	378	377	395	486	381	421	592	401	444
HIS92_RS05840	NZ_CP051858.1	1182963	1183685	-	723	7113	5001	5368	3489	4631	4136	4721	4080	8659	3959	4674	4338	4261	4326	3262	7955	3710	4971
HIS92_RS05845	NZ_CP051858.1	1183757	1184641	-	885	229	291	381	278	408	360	438	291	240	261	260	231	391	185	319	323	229	203
HIS92_RS05850	NZ_CP051858.1	1184794	1185237	-	444	47	49	63	40	67	54	83	58	37	35	38	29	65	49	57	41	40	47
HIS92_RS05855	NZ_CP051858.1	1185406	1185597	-	192	9	11	15	5	14	5	8	5	23	10	10	6	1	12	5	13	5	13
HIS92_RS05860	NZ_CP051858.1	1185717	1186235	-	519	6	2	5	4	2	3	6	2	6	3	6	1	8	1	2	5	2	4
HIS92_RS05865	NZ_CP051858.1	1186310	1186459	-	150	2	4	1	1	3	0	0	0	1	0	5	0	1	2	1	1	4	2
HIS92_RS05870	NZ_CP051858.1	1186701	1186937	-	237	1622	844	1407	662	1005	737	1073	634	2090	573	1108	559	797	769	712	1247	851	857
HIS92_RS05875	NZ_CP051858.1	1187171	1187407	+	237	16	17	35	15	20	13	17	12	23	22	22	21	24	8	17	22	12	27
HIS92_RS05880	NZ_CP051858.1	1187532	1188020	-	489	82	61	36	33	34	28	55	18	48	29	33	30	38	26	41	23	30	30
HIS92_RS05885	NZ_CP051858.1	1188203	1189420	-	1218	1794	1041	1058	713	1116	708	1288	694	1764	831	1050	676	1117	661	982	1141	847	932
HIS92_RS05890	NZ_CP051858.1	1189676	1190440	-	765	12	8	22	10	11	6	16	11	2	7	11	4	10	4	8	8	5	5
HIS92_RS05895	NZ_CP051858.1	1190671	1191528	+	858	1	0	1	1	3	0	1	4	1	2	1	0	1	0	3	2	0	0
HIS92_RS05900	NZ_CP051858.1	1191626	1191862	+	237	2	0	3	0	2	0	0	0	1	0	0	0	0	0	1	2	0	0
HIS92_RS05905	NZ_CP051858.1	1192023	1194130	-	2108	52	97	90	89	139	111	128	68	112	81	62	75	129	54	98	112	86	61
HIS92_RS05910	NZ_CP051858.1	1194239	1195813	-	1575	56	108	88	89	120	100	138	83	71	92	70	64	109	65	102	69	57	69
HIS92_RS05915	NZ_CP051858.1	1195955	1196413	+	459	17	56	58	90	80	50	73	36	45	53	45	62	60	40	112	73	44	61
HIS92_RS05920	NZ_CP051858.1	1196445	1197107	-	663	1097	728	871	675	800	679	1053	853	1670	813	721	714	778	659	654	1057	500	937
HIS92_RS05925	NZ_CP051858.1	1197722	1198375	-	654	2	9	6	3	7	9	5	7	12	4	6	5	11	5	4	13	4	6
HIS92_RS05930	NZ_CP051858.1	1198539	1198772	+	234	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1
HIS92_RS05935	NZ_CP051858.1	1198805	1199305	-	501	8	11	1	8	5	10	9	5	7	5	11	5	5	7	2	4	8	23
HIS92_RS05940	NZ_CP051858.1	1199709	1201250	+	1542	496	574	633	672	671	500	832	802	709	674	493	658	693	547	754	909	564	1156
HIS92_RS05945	NZ_CP051858.1	1201492	1202049	+	558	22	34	61	43	66	43	55	47	38	45	38	37	48	39	58	59	39	75
HIS92_RS05950	NZ_CP051858.1	1202562	1204850	+	2289	144	191	176	252	153	222	194	112	184	84	142	132	181	122	143	116	193	110
HIS92_RS05955	NZ_CP051858.1	1204888	1205277	-	390	111	88	90	47	77	71	99	86	113	95	68	131	94	99	52	135	65	117
HIS92_RS05960	NZ_CP051858.1	1205314	1205748	-	435	72	99	100	57	81	75	113	97	104	121	55	117	83	104	57	131	70	155
HIS92_RS05965	NZ_CP051858.1	1205977	1206726	+	750	0	1	1	0	3	0	0	0	0	2	0	0	1	0	0	0	0	4
HIS92_RS05970	NZ_CP051858.1	1206765	1208039	-	1275	13	24	22	15	23	29	26	15	24	15	6	18	25	15	21	22	15	26
HIS92_RS05975	NZ_CP051858.1	1208350	1208550	+	201	10	40	30	62	65	64	52	29	34	28	40	47	54	42	54	67	17	20
HIS92_RS05980	NZ_CP051858.1	1208672	1209835	+	1164	148	339	357	491	562	437	719	421	269	387	269	305	582	240	737	383	380	337
HIS92_RS05985	NZ_CP051858.1	1209851	1210873	-	1023	770	525	705	535	546	591	334	419	286	236	564	481	531	592	251	508	185	207
HIS92_RS05990	NZ_CP051858.1	1211143	1211985	-	843	1385	1266	1475	1422	849	1577	154	919	55	96	1327	1266	829	1625	99	964	30	82
HIS92_RS05995	NZ_CP051858.1	1211986	1213287	-	1302	1566	1342	1873	1923	928	1949	166	1194	41	86	1446	1507	973	2041	125	1163	28	112
HIS92_RS06000	NZ_CP051858.1	1213364	1214623	-	1260	1557	1203	1835	1332	842	1834	146	936	73	115	1244	1478	873	1779	91	1077	34	173
HIS92_RS06005	NZ_CP051858.1	1214948	1216708	+	1761	196	265	376	347	375	358	115	197	27	43	331	228	362	196	93	171	26	46
HIS92_RS06010	NZ_CP051858.1	1216749	1218425	-	1677	519	543	1016	669	691	1049	183	513	37	122	677	493	764	765	156	614	34	73
HIS92_RS06015	NZ_CP051858.1	1218688	1219788	+	1101	591	566	1086	987	785	1387	139	560	37	82	897	595	908	1027	125	521	31	70
HIS92_RS06020	NZ_CP051858.1	1219853	1220362	-	510	1311	575	909	328	405	416	441	495	1203	451	581	550	339	594	269	1268	541	731
HIS92_RS06025	NZ_CP051858.1	1220427	1220525	-	99	1	0	0	1	0	2	2	0	2	0	0	1	1	2	0	0	2	1
HIS92_RS06030	NZ_CP051858.1	1220680	1221135	-	456	140	110	134	119	120	105	133	125	156	127	133	116	126	125	113	195	80	103
HIS92_RS06035	NZ_CP051858.1	1221267	1221698	+	432	21	24	10	24	27	14	30	25	16	21	18	12	22	28	41	25	14	15
HIS92_RS06040	NZ_CP051858.1	1221745	1222509	-	765	382	292	355	240	324	321	364	371	482	317	277	305	282	311	250	495	242	418
HIS92_RS06045	NZ_CP051858.1	1222547	1223275	-	729	21	23	30	18	27	20	29	22	20	33	17	17	37	10	23	22	7	32
HIS92_RS06050	NZ_CP051858.1	1223490	1224215	+	726	49	125	123	139	162	110	180	119	48	108	100	104	166	98	151	100	92	69
HIS92_RS06055	NZ_CP051858.1	1224245	1225420	-	1176	128	117	93	44	75	57	72	52	98	45	88	55	79	43	82	66	54	40
HIS92_RS06060	NZ_CP051858.1	1225560	1226009	-	450	27	19	42	23	45	41	34	34	14	24	27	31	34	16	23	46	20	21
HIS92_RS06065	NZ_CP051858.1	1226118	1226411	-	294	27	14	39	23	34	37	23	35	24	14	29	29	39	15	31	29	9	16
HIS92_RS06070	NZ_CP051858.1	1226586	1227203	+	618	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS06075	NZ_CP051858.1	1227219	1227512	-	294	27	30	44	28	23	32	43	33	30	42	21	42	35	15	30	34	17	23
HIS92_RS06080	NZ_CP051858.1	1227564	1228325	-	762	18	13	33	23	22	24	36	24	26	29	19	5	40	21	29	17	9	18
HIS92_RS06085	NZ_CP051858.1	1228338	1229105	-	768	35	34	46	39	60	38	46	43	33	53	40	48	62	27	39	44	27	38
HIS92_RS06090	NZ_CP051858.1	1229105	1229437	-	333	4	5	15	16	14	9	21	17	13	10	11	27	9	16	7	4	3	11
HIS92_RS06095	NZ_CP051858.1	1229634	1230410	+	777	0	2	0	6	4	5	1	3	0	2	2	2	0	2	0	2	0	5
HIS92_RS06100	NZ_CP051858.1	1230441	1230602	-	162	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
HIS92_RS06105	NZ_CP051858.1	1230670	1231731	-	1062	6	13	11	8	15	12	12	11	6	12	9	8	20	13	18	8	11	19
HIS92_RS06110	NZ_CP051858.1	1231728	1232909	-	1182	18	17	28	12	18	18	24	26	15	18	16	11	20	8	20	16	22	16
HIS92_RS06115	NZ_CP051858.1	1233213	1234076	-	864	19	22	14	22	26	21	36	18	27	7	12	11	18	21	25	13	17	10
HIS92_RS06120	NZ_CP051858.1	1234091	1235269	+	1179	39	49	48	28	42	44	55	34	39	36	25	30	43	28	39	51	23	21
HIS92_RS06125	NZ_CP051858.1	1235503	1236747	+	1245	4	6	15	9	10	13	16	6	1	10	12	3	2	4	12	7	5	7
HIS92_RS06130	NZ_CP051858.1	1236744	1237403	+	660	6	5	5	8	9	13	12	11	8	12	7	3	5	9	5	7	4	1
HIS92_RS06135	NZ_CP051858.1	1237400	1238038	+	639	9	12	16	11	8	15	11	13	7	7	10	7	10	4	10	6	6	6
HIS92_RS06140	NZ_CP051858.1	1238016	1238528	+	513	5	13	8	13	16	13	12	10	7	19	2	11	12	1	7	8	3	10
HIS92_RS06145	NZ_CP051858.1	1238817	1239092	+	276	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0
HIS92_RS06150	NZ_CP051858.1	1239128	1239460	-	333	18	49	60	54	66	65	63	35	33	45	31	33	55	25	47	49	34	32
HIS92_RS06155	NZ_CP051858.1	1239466	1240344	-	879	94	215	209	167	270	200	273	145	106	198	138	153	288	106	138	168	147	92
HIS92_RS06160	NZ_CP051858.1	1240349	1241485	-	1137	78	194	141	158	222	205	284	159	133	169	169	120	246	130	209	206	139	122
HIS92_RS06165	NZ_CP051858.1	1241576	1242868	-	1293	24	7	28	8	14	22	10	13	21	9	27	12	10	8	23	30	8	15
HIS92_RS06170	NZ_CP051858.1	1243196	1243813	+	618	215	256	238	279	399	255	428	201	231	256	260	109	342	155	458	277	239	202
HIS92_RS06175	NZ_CP051858.1	1244047	1244265	+	219	59	85	40	49	62	50	53	55	47	33	40	39	43	52	29	45	26	37
HIS92_RS06180	NZ_CP051858.1	1244462	1244830	+	369	56	39	45	25	35	16	47	32	49	23	27	30	39	19	22	27	26	37
HIS92_RS06185	NZ_CP051858.1	1244928	1246640	-	1713	8053	14664	11391	11579	14271	11915	15466	8760	9671	8068	9064	9596	14523	8055	11820	9732	10400	8120
HIS92_RS06190	NZ_CP051858.1	1246640	1246903	-	264	520	731	614	843	865	606	1003	555	569	496	585	485	827	401	903	550	590	488
HIS92_RS06195	NZ_CP051858.1	1247040	1249103	-	2064	3816	4926	4217	4915	4379	3875	5226	4801	5299	4031	3769	4681	4535	4098	4165	4867	3949	4612
HIS92_RS06200	NZ_CP051858.1	1249443	1250291	-	849	301	458	462	512	578	553	669	431	376	400	350	382	588	301	634	585	419	417
HIS92_RS06205	NZ_CP051858.1	1250457	1251263	+	807	302	608	526	605	667	598	823	425	407	441	393	413	731	362	724	574	566	508
HIS92_RS06210	NZ_CP051858.1	1251337	1252068	-	732	3223	4115	3320	3268	3979	3916	4137	2832	3534	2863	2713	2738	3907	2664	3166	3966	2666	2861
HIS92_RS06215	NZ_CP051858.1	1251998	1252786	-	789	2520	3217	2576	2494	2907	3019	3225	2153	2820	2233	2126	1977	3093	1918	2302	3088	2175	2155
HIS92_RS06220	NZ_CP051858.1	1252791	1253933	-	1143	158	153	239	147	212	128	291	154	265	115	169	139	227	149	192	139	186	116
HIS92_RS06225	NZ_CP051858.1	1254145	1255047	-	903	9	14	15	24	25	6	19	11	8	16	16	11	15	8	23	12	17	7
HIS92_RS06230	NZ_CP051858.1	1255126	1255698	-	573	160	202	251	187	294	205	318	196	147	198	178	152	244	139	255	182	144	145
HIS92_RS06235	NZ_CP051858.1	1255857	1256600	-	744	696	596	706	501	698	600	757	536	1009	540	663	458	715	443	584	764	505	469
HIS92_RS06240	NZ_CP051858.1	1256770	1256865	+	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HIS92_RS06245	NZ_CP051858.1	1256965	1257483	+	519	40	51	41	54	51	56	53	45	38	51	33	44	55	37	53	42	44	49
HIS92_RS06250	NZ_CP051858.1	1257504	1257872	-	369	856	912	1045	615	1021	913	1083	691	1070	683	741	666	1077	638	735	1048	721	664
HIS92_RS06255	NZ_CP051858.1	1258335	1258772	-	438	5078	3469	3433	3225	3321	3098	3953	2432	4863	2485	3047	2279	3361	2248	3056	4598	3000	3506
HIS92_RS06260	NZ_CP051858.1	1258960	1259826	+	867	1401	1015	1215	1095	1156	910	1323	1211	1832	1086	1141	1222	1080	1141	897	1546	786	1061
HIS92_RS06265	NZ_CP051858.1	1259858	1260661	-	804	53	76	81	62	87	83	95	45	58	66	45	58	49	47	36	61	39	42
HIS92_RS06270	NZ_CP051858.1	1260759	1262231	-	1473	11	24	15	14	13	7	17	15	14	5	2	14	17	7	20	19	16	12
HIS92_RS06275	NZ_CP051858.1	1262218	1262787	-	570	0	1	4	0	0	0	1	0	1	0	0	2	2	0	2	0	4	1
HIS92_RS06280	NZ_CP051858.1	1262793	1263143	-	351	1	1	3	1	2	3	0	0	0	3	1	3	3	2	1	2	2	0
HIS92_RS06285	NZ_CP051858.1	1263147	1264163	-	1017	1	2	2	5	2	3	4	1	1	4	1	9	2	3	4	3	2	2
HIS92_RS06290	NZ_CP051858.1	1264177	1264635	-	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS06295	NZ_CP051858.1	1264650	1265066	-	417	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HIS92_RS06300	NZ_CP051858.1	1265059	1265679	-	621	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
HIS92_RS06305	NZ_CP051858.1	1265795	1265893	-	99	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HIS92_RS06310	NZ_CP051858.1	1265893	1267419	-	1527	19	15	22	16	22	22	22	15	16	12	14	22	25	10	34	17	17	23
HIS92_RS06315	NZ_CP051858.1	1267556	1268314	-	759	13	51	21	28	21	34	22	20	8	33	11	32	16	26	13	42	21	16
HIS92_RS06320	NZ_CP051858.1	1268327	1268767	-	441	12	27	11	13	17	33	24	20	9	14	8	38	20	11	11	14	11	15
HIS92_RS06325	NZ_CP051858.1	1268768	1269118	-	351	7	16	6	12	6	24	6	5	5	13	8	17	12	13	8	11	5	10
HIS92_RS06330	NZ_CP051858.1	1269288	1270478	-	1191	1	2	4	1	1	1	0	4	5	1	1	1	0	1	0	0	2	0
HIS92_RS06335	NZ_CP051858.1	1270645	1271064	+	420	21	23	24	23	27	22	29	29	32	19	30	16	43	18	24	11	15	25
HIS92_RS06340	NZ_CP051858.1	1271030	1271911	+	882	25	32	34	45	35	33	47	35	37	29	35	32	38	24	53	36	16	44
HIS92_RS06345	NZ_CP051858.1	1271901	1272968	+	1068	47	37	38	53	51	46	55	45	64	38	39	55	55	44	46	60	25	52
HIS92_RS06350	NZ_CP051858.1	1272981	1274066	+	1086	40	54	60	54	73	40	69	55	45	40	44	64	53	33	80	51	34	21
HIS92_RS06355	NZ_CP051858.1	1274086	1274631	-	546	4	5	2	5	1	0	10	4	6	3	7	16	9	0	9	4	1	5
HIS92_RS06360	NZ_CP051858.1	1274731	1275150	-	420	281	350	385	408	436	365	586	372	512	329	394	272	502	296	486	449	256	287
HIS92_RS06365	NZ_CP051858.1	1275310	1275981	+	672	1	0	2	6	5	1	5	3	2	1	1	2	4	1	3	7	5	1
HIS92_RS06370	NZ_CP051858.1	1276116	1277405	+	1290	4501	5333	5644	4708	6577	4798	6775	5992	6231	5453	4826	5476	6735	4893	4875	6270	4267	5428
HIS92_RS06375	NZ_CP051858.1	1277437	1278399	-	963	695	559	536	342	419	457	580	354	789	337	395	333	538	356	456	781	552	559
HIS92_RS06380	NZ_CP051858.1	1278460	1279764	-	1305	4826	8358	9192	7518	11839	9565	13771	6533	5611	6652	6928	4894	12406	4688	9279	7232	7724	5741
HIS92_RS06385	NZ_CP051858.1	1279772	1280593	-	822	1354	2695	3083	3336	4474	3545	5565	2384	1743	2622	2651	1458	4529	1481	4408	2302	2818	1723
HIS92_RS06390	NZ_CP051858.1	1280606	1281790	-	1185	3340	5930	7142	6893	9146	7683	11081	5686	4861	6012	5813	4046	9996	4029	8505	5568	5667	4114
HIS92_RS06395	NZ_CP051858.1	1282146	1282886	-	741	3070	2160	3597	1479	2963	1981	3131	2318	3681	1777	1232	2193	671	1676	414	2166	740	1809
HIS92_RS06400	NZ_CP051858.1	1283033	1283923	-	891	174	265	251	182	355	259	326	180	198	214	180	129	303	196	268	250	244	192
HIS92_RS06405	NZ_CP051858.1	1283930	1284160	-	231	22	19	25	14	22	13	33	16	18	25	17	13	20	27	21	23	18	14
HIS92_RS06410	NZ_CP051858.1	1284264	1284719	-	456	1264	1100	1203	909	1314	1062	1385	1038	1264	1021	796	770	1207	905	1030	1524	1003	1202
HIS92_RS06415	NZ_CP051858.1	1284826	1285473	-	648	66	82	66	51	77	84	102	66	47	60	50	42	89	31	84	85	67	70
HIS92_RS06420	NZ_CP051858.1	1285599	1286150	+	552	450	537	503	644	645	595	769	546	518	497	477	308	637	400	709	599	355	451
HIS92_RS06425	NZ_CP051858.1	1286174	1286713	-	540	419	391	406	247	392	318	443	303	471	254	259	285	349	290	269	437	346	292
HIS92_RS06430	NZ_CP051858.1	1286788	1286922	+	135	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HIS92_RS06435	NZ_CP051858.1	1287034	1287948	+	915	342	537	475	474	537	576	613	377	298	406	339	366	565	399	478	485	411	377
HIS92_RS06440	NZ_CP051858.1	1288006	1288833	-	828	93	117	154	133	220	153	265	118	157	115	104	86	218	85	237	199	242	178
HIS92_RS06445	NZ_CP051858.1	1288962	1289486	-	525	21	27	19	10	24	13	31	25	36	18	15	30	19	18	21	37	19	30
HIS92_RS06450	NZ_CP051858.1	1289553	1289816	-	264	91	49	101	26	70	49	92	27	155	35	62	39	65	46	53	101	72	78
HIS92_RS06455	NZ_CP051858.1	1290017	1291606	+	1590	81	98	72	129	107	95	118	141	111	127	94	133	96	110	110	139	57	163
HIS92_RS06460	NZ_CP051858.1	1291731	1292207	-	477	1	0	5	2	6	1	5	5	4	6	6	3	6	1	7	3	1	8
HIS92_RS06465	NZ_CP051858.1	1292329	1293327	+	999	49	80	74	81	73	74	92	78	68	72	30	60	83	50	92	89	60	118
HIS92_RS06470	NZ_CP051858.1	1293459	1294778	+	1320	651	810	694	829	771	749	815	899	896	787	646	844	798	825	702	1025	549	975
HIS92_RS06475	NZ_CP051858.1	1294803	1295666	-	864	9	9	24	11	17	11	13	12	14	16	16	14	13	12	13	13	11	12
HIS92_RS06480	NZ_CP051858.1	1295766	1296248	-	483	1	3	0	4	10	2	2	4	3	4	1	0	3	1	4	0	3	1
HIS92_RS06485	NZ_CP051858.1	1296330	1297253	+	924	210	328	253	333	258	345	335	422	334	354	253	463	292	359	252	545	251	514
HIS92_RS06490	NZ_CP051858.1	1297264	1297509	-	246	546	253	431	212	243	178	274	319	838	227	380	154	218	282	164	508	256	318
HIS92_RS06495	NZ_CP051858.1	1297649	1297855	+	207	30	14	21	6	18	12	16	12	13	12	13	3	17	1	3	16	8	7
HIS92_RS06500	NZ_CP051858.1	1298495	1299607	+	1113	125	140	141	108	156	135	197	100	140	147	97	110	191	78	132	105	132	91
HIS92_RS06505	NZ_CP051858.1	1299589	1300233	+	645	19	43	56	54	54	48	93	38	55	39	39	25	54	32	55	48	43	42
HIS92_RS06510	NZ_CP051858.1	1300246	1301439	+	1194	67	98	92	99	141	130	174	90	82	78	78	72	114	44	140	77	94	72
HIS92_RS06515	NZ_CP051858.1	1301458	1301919	+	462	29	55	39	35	59	48	60	32	34	39	27	36	43	26	49	39	37	24
HIS92_RS06520	NZ_CP051858.1	1301942	1302262	-	321	10	5	2	2	4	4	6	2	5	3	3	5	2	9	4	7	4	3
HIS92_RS06525	NZ_CP051858.1	1302445	1303443	-	999	2	9	7	1	15	2	10	1	2	0	0	5	7	1	3	5	7	1
HIS92_RS06530	NZ_CP051858.1	1303445	1304254	-	810	0	9	4	0	3	4	10	4	0	2	5	2	4	0	1	0	2	1
HIS92_RS06535	NZ_CP051858.1	1304220	1304960	-	741	0	3	3	4	1	0	6	0	7	1	3	5	1	2	5	0	2	2
HIS92_RS06540	NZ_CP051858.1	1304957	1306144	-	1188	2	5	3	6	3	3	1	3	6	2	3	9	3	11	5	1	2	2
HIS92_RS06545	NZ_CP051858.1	1306110	1306838	-	729	7	1	9	1	3	2	3	0	1	3	0	0	2	4	4	6	1	2
HIS92_RS06550	NZ_CP051858.1	1306838	1308271	-	1434	4	8	5	6	12	4	8	5	11	11	6	13	3	9	9	3	10	9
HIS92_RS06555	NZ_CP051858.1	1308349	1308705	-	357	0	2	2	0	2	3	4	2	4	0	3	1	1	6	3	2	4	3
HIS92_RS06560	NZ_CP051858.1	1309346	1310719	+	1374	70	181	131	301	140	227	160	261	187	236	101	315	129	257	131	276	118	215
HIS92_RS06565	NZ_CP051858.1	1310768	1313095	-	2328	258	460	568	482	693	620	901	539	349	520	389	345	729	370	636	495	399	351
HIS92_RS06570	NZ_CP051858.1	1313461	1314240	+	780	34	28	43	45	57	40	79	55	78	49	39	47	36	46	57	61	38	69
HIS92_RS06575	NZ_CP051858.1	1314313	1314759	+	447	380	362	443	398	410	380	427	335	363	326	333	357	442	320	332	459	316	322
HIS92_RS06580	NZ_CP051858.1	1314784	1314999	-	216	5	4	5	11	3	3	13	7	2	5	8	2	11	1	13	9	4	5
HIS92_RS06585	NZ_CP051858.1	1315057	1315617	-	561	24	61	51	53	37	62	56	41	42	43	37	62	58	51	48	83	43	45
HIS92_RS06590	NZ_CP051858.1	1315756	1316706	-	951	3	8	9	4	13	6	9	5	3	3	11	11	7	7	5	9	12	4
HIS92_RS06595	NZ_CP051858.1	1316719	1317879	-	1161	10	6	6	13	9	9	10	8	8	5	5	13	4	7	8	8	11	7
HIS92_RS06600	NZ_CP051858.1	1317876	1318643	-	768	1	2	1	2	2	4	4	5	2	2	4	2	8	6	1	1	9	3
HIS92_RS06605	NZ_CP051858.1	1318655	1319878	-	1224	3	8	7	4	6	7	8	4	10	2	5	6	11	5	11	4	6	5
HIS92_RS06610	NZ_CP051858.1	1319889	1320926	-	1038	2	2	2	10	12	1	7	4	6	2	9	8	6	2	5	5	3	5
HIS92_RS06615	NZ_CP051858.1	1321151	1321339	+	189	6	5	1	3	7	0	6	5	6	3	4	4	3	8	3	3	1	4
HIS92_RS06620	NZ_CP051858.1	1321369	1322163	-	795	70	63	78	84	154	70	120	74	93	84	68	54	114	40	98	79	54	46
HIS92_RS06625	NZ_CP051858.1	1322173	1323126	-	954	8	19	9	13	25	15	21	8	13	6	15	6	15	10	22	19	11	12
HIS92_RS06630	NZ_CP051858.1	1323292	1324131	+	840	1	1	2	0	0	1	0	0	3	0	0	1	1	0	0	0	1	1
HIS92_RS06635	NZ_CP051858.1	1324178	1325056	-	879	2026	2551	3768	1840	3887	3669	3750	2628	1943	2543	2089	2354	3897	2437	2256	3277	2079	2240
HIS92_RS06640	NZ_CP051858.1	1325075	1325734	-	660	600	1051	1593	1212	1974	1940	1821	1329	860	1412	1167	1147	1995	1121	1294	1433	997	1027
HIS92_RS06645	NZ_CP051858.1	1325775	1326045	-	271	88	144	236	186	262	227	286	199	153	216	217	121	289	150	234	184	135	188
HIS92_RS06650	NZ_CP051858.1	1326407	1327330	-	924	368	412	489	335	526	475	591	321	366	382	369	348	551	292	394	464	311	310
HIS92_RS06655	NZ_CP051858.1	1327520	1327771	+	252	38	20	17	28	24	21	24	15	17	29	15	13	22	9	41	17	7	21
HIS92_RS06660	NZ_CP051858.1	1327806	1328276	-	471	14	4	8	1	2	5	7	5	0	0	10	5	8	9	5	2	0	4
HIS92_RS06665	NZ_CP051858.1	1329164	1331869	+	2706	40	35	76	91	89	105	112	100	59	97	70	98	83	83	75	111	59	64
HIS92_RS06670	NZ_CP051858.1	1331943	1332644	+	702	11	16	20	26	39	28	37	30	20	27	26	48	25	33	23	21	17	35
HIS92_RS06675	NZ_CP051858.1	1332685	1333923	-	1239	207	219	245	158	250	226	268	171	182	164	184	202	413	303	604	672	621	857
HIS92_RS06680	NZ_CP051858.1	1334034	1334189	+	156	1	0	0	0	2	0	1	0	5	0	0	0	0	0	1	2	0	0
