Geneid	Chr	Start	End	Strand	Length	B1-t0-1	B2-t0-2	B3-t0-3	G1-t0-1	G2-t0-2	G3-t0-3	B1M-t0-1	B2M-t0-2	B3M-t0-3	G1M-t0-1	G2M-t0-2	G3M-t0-3
HIS92_RS05370	NZ_CP051858.1	1093995	1095281	-	1287	2673	639	45	88	33	46	656	268	29	9	20	18
HIS92_RS05375	NZ_CP051858.1	1095265	1096179	-	915	1320	377	39	43	29	25	467	164	27	10	12	8
HIS92_RS05380	NZ_CP051858.1	1096328	1097611	-	1284	1385	737	135	143	83	113	285	262	53	51	43	27
HIS92_RS05385	NZ_CP051858.1	1097758	1098300	-	543	1090	663	643	454	335	436	289	253	298	172	165	141
HIS92_RS05390	NZ_CP051858.1	1098505	1099413	-	909	2551	2431	3511	2967	2396	3021	1702	2273	2349	1741	1790	1417
HIS92_RS05395	NZ_CP051858.1	1099418	1099876	-	459	927	959	1183	993	1018	1140	405	823	844	684	634	531
HIS92_RS05400	NZ_CP051858.1	1100001	1100330	-	330	13	9	23	19	12	11	7	11	8	10	3	12
HIS92_RS05405	NZ_CP051858.1	1100487	1103252	-	2766	10147	8182	12210	10263	9379	11807	8426	9783	10912	7213	8743	6605
HIS92_RS05410	NZ_CP051858.1	1103598	1104104	-	507	3932	3226	4154	3885	3762	4659	4003	3745	3680	3214	3203	2403
HIS92_RS05415	NZ_CP051858.1	1104194	1104961	-	768	2644	1949	2790	2488	2323	2708	2527	2331	2190	1751	1998	1464
HIS92_RS05420	NZ_CP051858.1	1104977	1105240	-	264	725	650	843	775	750	896	844	782	795	567	693	499
HIS92_RS05425	NZ_CP051858.1	1105247	1105717	-	471	1068	723	1048	898	890	1075	721	900	876	586	806	500
HIS92_RS05430	NZ_CP051858.1	1105737	1106411	-	675	1057	754	1026	898	915	1152	680	933	858	637	757	605
HIS92_RS05435	NZ_CP051858.1	1106408	1107226	-	819	1267	986	1231	1264	1098	1416	700	1014	943	703	935	631
HIS92_RS05440	NZ_CP051858.1	1107347	1107628	-	282	0	1	1	0	0	0	0	3	0	0	0	0
HIS92_RS05445	NZ_CP051858.1	1107792	1108571	-	780	1	1	1	0	0	0	3	1	4	1	1	0
HIS92_RS05450	NZ_CP051858.1	1108730	1109449	-	720	5	1	3	1	1	3	6	5	6	2	1	0
HIS92_RS05455	NZ_CP051858.1	1109469	1110386	-	918	3	4	4	3	1	2	3	0	1	2	5	3
HIS92_RS05460	NZ_CP051858.1	1110647	1111801	-	1155	4093	3350	5582	4795	4736	6081	3077	2977	4084	2946	3086	2387
HIS92_RS05465	NZ_CP051858.1	1111841	1113148	-	1308	4465	3602	5675	4686	5064	6555	3965	3383	4035	2966	2762	2151
HIS92_RS05470	NZ_CP051858.1	1113548	1114318	-	771	289	272	556	499	466	708	414	299	480	316	349	252
HIS92_RS05475	NZ_CP051858.1	1114417	1115322	-	906	484	453	950	742	673	1095	393	488	728	410	488	402
HIS92_RS05480	NZ_CP051858.1	1115535	1116629	-	1095	339	349	836	557	524	759	347	327	557	278	367	276
HIS92_RS05485	NZ_CP051858.1	1116733	1117824	-	1092	846	657	1543	1032	984	1059	557	903	1058	944	858	664
HIS92_RS05490	NZ_CP051858.1	1117915	1119267	-	1353	1988	1498	2525	2427	1987	2733	1524	1808	2170	1402	1799	1195
HIS92_RS05495	NZ_CP051858.1	1119268	1120242	-	975	697	602	938	837	772	1062	648	585	833	465	598	404
HIS92_RS05500	NZ_CP051858.1	1120265	1121740	-	1476	532	411	845	672	557	987	505	415	679	362	326	289
HIS92_RS05505	NZ_CP051858.1	1121926	1123842	-	1917	429	396	654	623	583	882	983	605	761	472	602	375
HIS92_RS05510	NZ_CP051858.1	1123924	1126023	-	2100	856	657	948	925	908	1237	1294	975	1178	808	903	666
HIS92_RS05515	NZ_CP051858.1	1126096	1126458	-	363	559	498	533	575	587	658	619	672	563	522	588	389
HIS92_RS05520	NZ_CP051858.1	1126474	1127406	-	933	1679	1506	1565	1536	1759	1765	1599	1591	1450	1358	1252	936
HIS92_RS05525	NZ_CP051858.1	1127772	1129388	-	1617	877	523	986	688	607	816	1049	875	1049	541	649	456
HIS92_RS05530	NZ_CP051858.1	1129468	1130352	-	885	18	15	27	21	23	26	84	35	41	33	15	21
HIS92_RS05535	NZ_CP051858.1	1130649	1131122	+	474	335	240	172	352	293	219	243	315	181	235	193	143
HIS92_RS05540	NZ_CP051858.1	1131161	1131667	-	507	301	292	537	361	364	382	171	337	330	372	332	239
HIS92_RS05545	NZ_CP051858.1	1131797	1131970	-	174	4015	4082	6892	5230	5108	6452	1796	4950	5792	5428	4828	3403
HIS92_RS05550	NZ_CP051858.1	1132032	1132532	-	501	15306	17345	30721	21920	19736	24381	6880	15352	18262	16722	15348	11900
HIS92_RS05555	NZ_CP051858.1	1132701	1133927	+	1227	553	406	597	685	482	581	391	575	761	437	687	475
HIS92_RS05560	NZ_CP051858.1	1133938	1134975	-	1038	60	54	74	50	55	76	71	67	80	40	57	35
HIS92_RS05565	NZ_CP051858.1	1134968	1135759	-	792	31	30	29	20	42	42	37	32	33	27	32	10
HIS92_RS05570	NZ_CP051858.1	1135873	1137102	+	1230	4	1	5	2	3	2	1	1	10	0	1	5
HIS92_RS05575	NZ_CP051858.1	1137094	1137585	-	492	143	115	183	135	142	216	164	94	140	69	93	79
HIS92_RS05580	NZ_CP051858.1	1137582	1138148	-	567	96	92	112	104	79	132	72	74	100	41	33	39
HIS92_RS05585	NZ_CP051858.1	1138647	1139036	+	390	563	508	593	622	568	563	224	435	401	386	385	258
HIS92_RS05590	NZ_CP051858.1	1139091	1139357	-	267	171	122	189	198	159	204	71	112	194	142	165	113
HIS92_RS05595	NZ_CP051858.1	1139484	1139936	-	453	262	201	383	313	253	344	295	306	357	227	206	175
HIS92_RS05600	NZ_CP051858.1	1140051	1140623	-	573	260	134	319	170	148	261	215	126	236	102	87	97
HIS92_RS05605	NZ_CP051858.1	1140700	1140945	-	246	0	1	0	2	2	4	7	1	2	3	3	0
HIS92_RS05610	NZ_CP051858.1	1140958	1141395	-	438	0	1	1	4	7	2	4	3	10	2	1	1
HIS92_RS05615	NZ_CP051858.1	1141582	1142616	-	1035	313	285	453	354	450	486	291	401	427	335	329	245
HIS92_RS05620	NZ_CP051858.1	1142821	1143186	+	366	48	34	38	35	44	24	19	22	26	28	29	17
HIS92_RS05625	NZ_CP051858.1	1143233	1144231	-	999	48	49	61	55	69	77	45	53	48	45	49	40
HIS92_RS05630	NZ_CP051858.1	1144465	1145370	-	906	52	33	77	59	82	90	81	59	85	30	93	52
HIS92_RS05635	NZ_CP051858.1	1145451	1145783	-	333	55	51	67	79	67	98	83	62	65	56	66	51
HIS92_RS05640	NZ_CP051858.1	1145787	1146410	-	624	98	57	118	111	114	149	104	121	154	71	113	127
HIS92_RS05645	NZ_CP051858.1	1146410	1148245	-	1836	341	193	471	430	422	590	469	327	518	282	350	317
HIS92_RS05650	NZ_CP051858.1	1148306	1149355	-	1050	1043	794	1644	1296	1256	1689	761	816	1161	850	949	783
HIS92_RS05655	NZ_CP051858.1	1149449	1150372	-	924	3710	2890	6106	4022	3660	4563	1834	2236	2994	2527	2783	2311
HIS92_RS05660	NZ_CP051858.1	1150870	1151805	+	936	2008	1917	3079	2214	2188	2528	1454	1968	2694	1587	2200	1630
HIS92_RS05665	NZ_CP051858.1	1151891	1155337	-	3447	11847	6626	7648	6658	6582	8163	11021	8862	7580	4789	5189	3997
HIS92_RS05670	NZ_CP051858.1	1155671	1156849	-	1179	868	645	1241	914	763	1115	771	810	935	700	709	566
HIS92_RS05675	NZ_CP051858.1	1156975	1157262	-	288	683	607	1025	811	707	994	449	663	940	553	591	540
HIS92_RS05680	NZ_CP051858.1	1157418	1157915	+	498	447	274	333	298	281	363	464	383	290	271	298	202
HIS92_RS05685	NZ_CP051858.1	1157947	1159275	-	1329	69	66	38	60	69	66	133	89	50	70	38	44
HIS92_RS05690	NZ_CP051858.1	1159522	1159977	-	456	54	33	23	50	30	24	51	41	25	20	20	19
HIS92_RS05695	NZ_CP051858.1	1160123	1160323	+	201	87	66	108	117	101	123	58	130	91	77	63	63
HIS92_RS05700	NZ_CP051858.1	1160359	1160634	-	276	1	2	0	4	4	1	8	1	6	1	5	2
HIS92_RS05705	NZ_CP051858.1	1160651	1160953	-	303	2	1	1	3	0	2	1	2	2	3	2	0
HIS92_RS05710	NZ_CP051858.1	1161111	1162955	-	1845	23762	20333	28276	21115	19606	22882	13916	21694	21847	16021	15870	11583
HIS92_RS05715	NZ_CP051858.1	1163096	1163275	+	180	82	54	113	107	81	100	67	115	95	73	59	41
HIS92_RS05720	NZ_CP051858.1	1163308	1164111	-	804	243	138	303	188	195	280	218	257	331	165	225	132
HIS92_RS05725	NZ_CP051858.1	1164200	1164388	-	189	7	7	3	17	26	9	15	35	22	21	16	22
HIS92_RS05730	NZ_CP051858.1	1164594	1165220	+	627	1170	835	1214	914	807	970	639	860	1217	736	831	594
HIS92_RS05735	NZ_CP051858.1	1165301	1165570	-	270	149	130	202	165	151	150	31	61	40	79	47	40
HIS92_RS05740	NZ_CP051858.1	1165938	1167410	+	1473	5090	2784	4511	2860	2591	3163	1907	2215	2578	1245	1597	1145
HIS92_RS05745	NZ_CP051858.1	1167486	1168316	+	831	3	3	14	3	2	5	2	5	1	3	0	3
HIS92_RS05750	NZ_CP051858.1	1168353	1168481	-	129	11	7	0	4	1	0	1	0	0	0	0	0
HIS92_RS05755	NZ_CP051858.1	1168526	1168654	-	129	11	17	3	7	0	1	3	8	3	2	0	2
HIS92_RS05760	NZ_CP051858.1	1168714	1168842	-	129	3	8	6	7	6	6	7	5	1	9	2	0
HIS92_RS05765	NZ_CP051858.1	1169038	1169334	-	297	2	7	4	6	2	4	3	8	13	6	10	5
HIS92_RS05770	NZ_CP051858.1	1169465	1169857	+	393	13	27	5	16	18	6	12	5	16	7	10	8
HIS92_RS05775	NZ_CP051858.1	1169859	1170086	-	228	2	1	1	4	0	2	0	0	3	2	4	3
HIS92_RS05780	NZ_CP051858.1	1170319	1171731	-	1413	63277	45247	65590	59943	56129	71889	74983	70523	75845	45131	65926	51575
HIS92_RS05785	NZ_CP051858.1	1171737	1173023	-	1287	69494	48132	71582	60934	58123	76167	54250	66074	75147	42744	64139	50883
HIS92_RS05790	NZ_CP051858.1	1173117	1174094	-	978	45776	33759	47499	42676	39024	50136	65640	54058	52930	30986	44061	34187
HIS92_RS05795	NZ_CP051858.1	1174098	1175213	-	1116	76430	56480	81299	67211	63839	79912	50030	62190	81543	47219	66973	51564
HIS92_RS05800	NZ_CP051858.1	1175728	1175874	+	147	2	3	3	3	1	2	0	0	1	5	6	0
HIS92_RS05805	NZ_CP051858.1	1176043	1176597	+	555	1052	678	1116	851	731	892	483	845	750	625	713	566
HIS92_RS05810	NZ_CP051858.1	1176658	1177431	-	774	1208	1023	1567	1184	1043	1280	612	915	955	803	701	544
HIS92_RS05815	NZ_CP051858.1	1177979	1178191	+	213	1468	1239	1585	1421	1371	1323	1193	1470	1426	916	1196	889
HIS92_RS05820	NZ_CP051858.1	1178196	1179863	+	1668	17435	12704	19157	15033	13475	15972	13200	15827	16099	11152	13521	10012
HIS92_RS05825	NZ_CP051858.1	1179907	1180572	-	666	336	221	397	290	255	322	347	280	291	165	231	151
HIS92_RS05830	NZ_CP051858.1	1180655	1181521	-	867	198	147	224	194	160	234	206	202	197	127	176	118
HIS92_RS05835	NZ_CP051858.1	1181769	1182899	-	1131	795	524	742	559	545	784	507	543	525	380	415	296
HIS92_RS05840	NZ_CP051858.1	1182963	1183685	-	723	6247	4887	7570	5198	4628	5753	3112	3801	4255	2605	2474	2074
HIS92_RS05845	NZ_CP051858.1	1183757	1184641	-	885	747	411	534	441	323	476	393	427	384	224	187	154
HIS92_RS05850	NZ_CP051858.1	1184794	1185237	-	444	92	81	72	91	121	103	118	131	87	96	62	39
HIS92_RS05855	NZ_CP051858.1	1185406	1185597	-	192	10	5	8	6	8	19	20	11	13	21	17	10
HIS92_RS05860	NZ_CP051858.1	1185717	1186235	-	519	1	1	4	1	5	5	2	2	12	0	0	2
HIS92_RS05865	NZ_CP051858.1	1186310	1186459	-	150	0	0	5	3	1	0	0	1	2	0	0	0
HIS92_RS05870	NZ_CP051858.1	1186701	1186937	-	237	535	481	793	560	690	767	452	1029	975	937	835	511
HIS92_RS05875	NZ_CP051858.1	1187171	1187407	+	237	36	18	29	33	14	16	26	27	21	27	31	16
HIS92_RS05880	NZ_CP051858.1	1187532	1188020	-	489	27	22	53	29	24	27	10	18	24	24	25	15
HIS92_RS05885	NZ_CP051858.1	1188203	1189420	-	1218	591	661	1270	932	791	923	305	537	633	525	526	447
HIS92_RS05890	NZ_CP051858.1	1189676	1190440	-	765	24	30	32	40	61	47	53	46	32	48	30	18
HIS92_RS05895	NZ_CP051858.1	1190671	1191528	+	858	1	2	3	2	2	2	1	1	2	5	0	5
HIS92_RS05900	NZ_CP051858.1	1191626	1191862	+	237	0	0	6	2	1	1	1	2	0	2	2	1
HIS92_RS05905	NZ_CP051858.1	1192023	1194130	-	2108	57	67	74	70	67	85	186	69	66	77	67	45
HIS92_RS05910	NZ_CP051858.1	1194239	1195813	-	1575	78	78	100	67	99	103	112	69	61	75	46	33
HIS92_RS05915	NZ_CP051858.1	1195955	1196413	+	459	146	145	162	126	137	134	133	131	142	109	119	127
HIS92_RS05920	NZ_CP051858.1	1196445	1197107	-	663	678	495	825	935	1049	1136	481	543	672	837	830	648
HIS92_RS05925	NZ_CP051858.1	1197722	1198375	-	654	1	5	4	3	0	6	0	1	3	1	2	1
HIS92_RS05930	NZ_CP051858.1	1198539	1198772	+	234	0	1	2	3	0	1	0	2	2	0	1	0
HIS92_RS05935	NZ_CP051858.1	1198805	1199305	-	501	12	16	8	17	12	17	8	10	12	10	10	14
HIS92_RS05940	NZ_CP051858.1	1199709	1201250	+	1542	719	775	1532	970	918	1099	422	743	1315	688	916	653
HIS92_RS05945	NZ_CP051858.1	1201492	1202049	+	558	88	58	105	112	81	87	52	74	67	33	74	38
HIS92_RS05950	NZ_CP051858.1	1202562	1204850	+	2289	393	318	254	480	293	282	244	435	316	591	268	261
HIS92_RS05955	NZ_CP051858.1	1204888	1205277	-	390	73	100	138	89	104	128	48	70	100	61	77	47
HIS92_RS05960	NZ_CP051858.1	1205314	1205748	-	435	86	81	151	91	89	100	27	57	61	64	56	49
HIS92_RS05965	NZ_CP051858.1	1205977	1206726	+	750	0	0	1	1	2	5	6	0	3	1	2	1
HIS92_RS05970	NZ_CP051858.1	1206765	1208039	-	1275	86	90	42	89	138	71	124	153	82	110	97	66
HIS92_RS05975	NZ_CP051858.1	1208350	1208550	+	201	99	57	193	145	213	181	106	117	154	77	163	53
HIS92_RS05980	NZ_CP051858.1	1208672	1209835	+	1164	1778	1210	1811	1491	1355	1600	917	1189	1357	778	994	792
HIS92_RS05985	NZ_CP051858.1	1209851	1210873	-	1023	217	125	263	201	207	248	212	147	171	115	122	80
HIS92_RS05990	NZ_CP051858.1	1211143	1211985	-	843	27	40	58	45	17	34	41	52	46	12	20	31
HIS92_RS05995	NZ_CP051858.1	1211986	1213287	-	1302	38	42	43	28	35	31	28	19	22	22	11	16
HIS92_RS06000	NZ_CP051858.1	1213364	1214623	-	1260	40	24	56	21	19	34	20	31	27	16	15	15
HIS92_RS06005	NZ_CP051858.1	1214948	1216708	+	1761	56	40	19	28	18	28	22	23	20	13	20	8
HIS92_RS06010	NZ_CP051858.1	1216749	1218425	-	1677	24	18	41	27	23	29	18	26	46	23	17	17
HIS92_RS06015	NZ_CP051858.1	1218688	1219788	+	1101	71	62	101	35	42	50	65	50	40	17	51	20
HIS92_RS06020	NZ_CP051858.1	1219853	1220362	-	510	434	333	741	618	456	566	214	352	562	509	442	313
HIS92_RS06025	NZ_CP051858.1	1220427	1220525	-	99	1	3	1	2	0	4	1	1	4	0	4	0
HIS92_RS06030	NZ_CP051858.1	1220680	1221135	-	456	54	69	181	106	113	134	38	45	104	37	42	27
HIS92_RS06035	NZ_CP051858.1	1221267	1221698	+	432	110	37	78	102	60	79	55	57	61	38	64	43
HIS92_RS06040	NZ_CP051858.1	1221745	1222509	-	765	265	259	429	333	253	363	138	268	256	245	191	148
HIS92_RS06045	NZ_CP051858.1	1222547	1223275	-	729	3	10	27	21	18	31	4	8	14	17	18	12
HIS92_RS06050	NZ_CP051858.1	1223490	1224215	+	726	367	197	313	277	191	258	154	168	222	112	175	146
HIS92_RS06055	NZ_CP051858.1	1224245	1225420	-	1176	273	199	119	435	423	304	259	304	189	324	225	163
HIS92_RS06060	NZ_CP051858.1	1225560	1226009	-	450	20	16	26	30	32	55	55	36	75	54	22	21
HIS92_RS06065	NZ_CP051858.1	1226118	1226411	-	294	106	90	61	129	187	121	182	182	112	174	165	86
HIS92_RS06070	NZ_CP051858.1	1226586	1227203	+	618	0	0	0	0	0	1	0	0	0	0	0	0
HIS92_RS06075	NZ_CP051858.1	1227219	1227512	-	294	14	10	13	20	14	20	7	8	8	1	15	7
HIS92_RS06080	NZ_CP051858.1	1227564	1228325	-	762	14	14	10	17	16	25	14	11	16	10	9	7
HIS92_RS06085	NZ_CP051858.1	1228338	1229105	-	768	11	20	20	21	24	26	12	20	11	7	11	8
HIS92_RS06090	NZ_CP051858.1	1229105	1229437	-	333	9	10	10	11	16	17	1	4	8	6	2	2
HIS92_RS06095	NZ_CP051858.1	1229634	1230410	+	777	4	2	4	3	6	6	3	6	0	0	2	3
HIS92_RS06100	NZ_CP051858.1	1230441	1230602	-	162	1	0	1	0	1	0	0	1	0	0	0	0
HIS92_RS06105	NZ_CP051858.1	1230670	1231731	-	1062	9	10	13	12	15	19	34	36	35	6	14	9
HIS92_RS06110	NZ_CP051858.1	1231728	1232909	-	1182	13	7	8	8	13	9	10	11	15	4	8	2
HIS92_RS06115	NZ_CP051858.1	1233213	1234076	-	864	31	25	34	29	32	45	21	15	14	40	13	15
HIS92_RS06120	NZ_CP051858.1	1234091	1235269	+	1179	47	50	89	104	96	123	26	26	53	37	43	33
HIS92_RS06125	NZ_CP051858.1	1235503	1236747	+	1245	2	6	13	11	16	16	7	2	9	8	5	8
HIS92_RS06130	NZ_CP051858.1	1236744	1237403	+	660	5	4	2	11	7	4	1	2	5	7	5	2
HIS92_RS06135	NZ_CP051858.1	1237400	1238038	+	639	4	9	8	21	18	15	6	2	15	7	2	4
HIS92_RS06140	NZ_CP051858.1	1238016	1238528	+	513	10	7	17	21	23	25	11	12	11	8	15	6
HIS92_RS06145	NZ_CP051858.1	1238817	1239092	+	276	1	2	9	4	2	0	1	2	1	1	1	1
HIS92_RS06150	NZ_CP051858.1	1239128	1239460	-	333	84	50	50	63	47	97	91	45	37	74	48	37
HIS92_RS06155	NZ_CP051858.1	1239466	1240344	-	879	208	124	204	178	205	238	146	129	169	122	139	88
HIS92_RS06160	NZ_CP051858.1	1240349	1241485	-	1137	132	100	135	147	178	180	207	117	128	95	55	71
HIS92_RS06165	NZ_CP051858.1	1241576	1242868	-	1293	14	17	19	11	18	27	12	14	18	11	15	6
HIS92_RS06170	NZ_CP051858.1	1243196	1243813	+	618	977	710	1655	919	690	900	317	684	955	456	595	451
HIS92_RS06175	NZ_CP051858.1	1244047	1244265	+	219	590	462	482	520	457	379	466	622	443	384	489	350
HIS92_RS06180	NZ_CP051858.1	1244462	1244830	+	369	40	41	43	60	64	51	23	48	57	55	66	41
HIS92_RS06185	NZ_CP051858.1	1244928	1246640	-	1713	30135	18006	22229	17104	17700	19421	27070	23920	20077	13152	16995	11914
HIS92_RS06190	NZ_CP051858.1	1246640	1246903	-	264	4956	2922	3626	2742	2593	3000	2122	2770	3213	1919	2730	1923
HIS92_RS06195	NZ_CP051858.1	1247040	1249103	-	2064	10312	7566	11920	11274	13187	11854	7968	9393	10638	8309	10350	5809
HIS92_RS06200	NZ_CP051858.1	1249443	1250291	-	849	1009	835	1196	971	963	985	621	830	975	626	707	534
HIS92_RS06205	NZ_CP051858.1	1250457	1251263	+	807	1377	1131	1461	1131	1151	1242	1313	1539	1772	1193	1315	1031
HIS92_RS06210	NZ_CP051858.1	1251337	1252068	-	732	5483	4085	5058	4510	4095	4733	4429	4527	3840	3816	3964	3018
HIS92_RS06215	NZ_CP051858.1	1251998	1252786	-	789	4164	3119	3697	3416	2999	3465	2697	3313	2879	2753	3117	2266
HIS92_RS06220	NZ_CP051858.1	1252791	1253933	-	1143	977	653	236	185	201	216	574	595	303	245	371	286
HIS92_RS06225	NZ_CP051858.1	1254145	1255047	-	903	12	29	30	22	21	28	14	13	19	9	10	10
HIS92_RS06230	NZ_CP051858.1	1255126	1255698	-	573	386	338	473	341	291	432	125	242	277	222	214	124
HIS92_RS06235	NZ_CP051858.1	1255857	1256600	-	744	784	704	860	782	630	740	279	431	501	392	390	306
HIS92_RS06240	NZ_CP051858.1	1256770	1256865	+	96	4	1	5	0	2	3	1	1	3	1	1	1
HIS92_RS06245	NZ_CP051858.1	1256965	1257483	+	519	119	107	118	89	75	108	66	69	66	54	80	64
HIS92_RS06250	NZ_CP051858.1	1257504	1257872	-	369	742	734	1057	976	900	1026	776	797	819	742	725	598
HIS92_RS06255	NZ_CP051858.1	1258335	1258772	-	438	7946	6409	9248	6794	6573	7129	3192	7951	7891	5729	5876	4540
HIS92_RS06260	NZ_CP051858.1	1258960	1259826	+	867	1924	1535	2200	2073	1902	2153	550	1002	1155	1140	1203	804
HIS92_RS06265	NZ_CP051858.1	1259858	1260661	-	804	86	34	77	40	45	55	58	72	54	43	38	28
HIS92_RS06270	NZ_CP051858.1	1260759	1262231	-	1473	14	14	18	25	6	28	18	9	12	9	9	11
HIS92_RS06275	NZ_CP051858.1	1262218	1262787	-	570	9	0	1	0	1	0	1	1	1	1	0	0
HIS92_RS06280	NZ_CP051858.1	1262793	1263143	-	351	0	0	0	0	0	0	0	0	1	0	0	0
HIS92_RS06285	NZ_CP051858.1	1263147	1264163	-	1017	3	0	0	1	2	2	1	0	1	1	2	0
HIS92_RS06290	NZ_CP051858.1	1264177	1264635	-	459	0	0	0	0	0	1	0	0	0	0	0	0
HIS92_RS06295	NZ_CP051858.1	1264650	1265066	-	417	0	0	0	0	0	0	0	0	0	0	0	2
HIS92_RS06300	NZ_CP051858.1	1265059	1265679	-	621	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS06305	NZ_CP051858.1	1265795	1265893	-	99	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS06310	NZ_CP051858.1	1265893	1267419	-	1527	14	8	20	16	18	25	23	13	8	15	13	8
HIS92_RS06315	NZ_CP051858.1	1267556	1268314	-	759	20	20	15	18	29	23	15	24	18	36	31	16
HIS92_RS06320	NZ_CP051858.1	1268327	1268767	-	441	18	11	12	16	19	24	13	13	14	25	12	6
HIS92_RS06325	NZ_CP051858.1	1268768	1269118	-	351	12	4	6	14	8	11	8	4	9	11	12	13
HIS92_RS06330	NZ_CP051858.1	1269288	1270478	-	1191	2	0	0	0	2	1	1	1	2	0	1	0
HIS92_RS06335	NZ_CP051858.1	1270645	1271064	+	420	41	35	61	44	31	41	13	12	23	18	13	14
HIS92_RS06340	NZ_CP051858.1	1271030	1271911	+	882	97	69	80	78	56	100	31	35	44	34	28	13
HIS92_RS06345	NZ_CP051858.1	1271901	1272968	+	1068	90	69	71	97	93	81	27	31	36	41	46	30
HIS92_RS06350	NZ_CP051858.1	1272981	1274066	+	1086	115	95	136	122	102	102	53	63	69	63	62	29
HIS92_RS06355	NZ_CP051858.1	1274086	1274631	-	546	11	5	9	6	6	2	0	2	6	0	8	5
HIS92_RS06360	NZ_CP051858.1	1274731	1275150	-	420	1492	1061	1378	1479	1331	1284	838	1006	856	967	815	525
HIS92_RS06365	NZ_CP051858.1	1275310	1275981	+	672	7	7	2	9	3	4	1	2	4	5	5	9
HIS92_RS06370	NZ_CP051858.1	1276116	1277405	+	1290	2013	3734	9135	7215	7032	8241	1523	3363	6125	4185	4875	3267
HIS92_RS06375	NZ_CP051858.1	1277437	1278399	-	963	627	503	585	612	544	648	638	707	816	627	599	461
HIS92_RS06380	NZ_CP051858.1	1278460	1279764	-	1305	10640	11280	16209	15693	14485	16981	10958	18125	16214	12660	15717	9875
HIS92_RS06385	NZ_CP051858.1	1279772	1280593	-	822	5101	6486	8762	8846	9112	9747	5163	9044	8927	7291	8313	4832
HIS92_RS06390	NZ_CP051858.1	1280606	1281790	-	1185	8143	11564	15214	15814	16647	17076	8397	15270	15371	12605	12575	7455
HIS92_RS06395	NZ_CP051858.1	1282146	1282886	-	741	521	200	451	307	269	491	216	219	358	233	254	174
HIS92_RS06400	NZ_CP051858.1	1283033	1283923	-	891	258	186	310	254	221	270	152	220	241	158	187	114
HIS92_RS06405	NZ_CP051858.1	1283930	1284160	-	231	7	5	14	13	6	11	4	4	11	13	8	7
HIS92_RS06410	NZ_CP051858.1	1284264	1284719	-	456	1004	635	1382	977	858	1266	828	996	1118	916	857	775
HIS92_RS06415	NZ_CP051858.1	1284826	1285473	-	648	74	66	97	88	89	88	105	105	120	115	103	78
HIS92_RS06420	NZ_CP051858.1	1285599	1286150	+	552	2025	1576	2302	2270	1811	2142	1031	1564	1548	1381	1567	1061
HIS92_RS06425	NZ_CP051858.1	1286174	1286713	-	540	425	362	415	439	358	451	326	431	402	365	335	239
HIS92_RS06430	NZ_CP051858.1	1286788	1286922	+	135	0	0	0	0	0	0	1	1	0	0	0	0
HIS92_RS06435	NZ_CP051858.1	1287034	1287948	+	915	996	809	1044	969	967	1134	568	905	770	831	884	632
HIS92_RS06440	NZ_CP051858.1	1288006	1288833	-	828	504	265	329	321	387	378	650	688	562	415	506	406
HIS92_RS06445	NZ_CP051858.1	1288962	1289486	-	525	9	5	10	13	4	16	22	12	19	7	11	10
HIS92_RS06450	NZ_CP051858.1	1289553	1289816	-	264	42	33	48	42	31	22	49	58	43	43	31	31
HIS92_RS06455	NZ_CP051858.1	1290017	1291606	+	1590	317	238	332	331	301	301	241	323	300	277	319	230
HIS92_RS06460	NZ_CP051858.1	1291731	1292207	-	477	7	1	5	6	7	1	7	10	5	6	6	6
HIS92_RS06465	NZ_CP051858.1	1292329	1293327	+	999	94	110	186	167	192	184	77	98	188	148	209	129
HIS92_RS06470	NZ_CP051858.1	1293459	1294778	+	1320	494	488	1227	698	641	972	255	351	574	331	472	346
HIS92_RS06475	NZ_CP051858.1	1294803	1295666	-	864	72	20	45	77	105	84	178	169	135	84	86	77
HIS92_RS06480	NZ_CP051858.1	1295766	1296248	-	483	3	5	15	9	5	6	12	2	10	12	9	2
HIS92_RS06485	NZ_CP051858.1	1296330	1297253	+	924	539	436	527	544	508	463	443	531	563	403	520	315
HIS92_RS06490	NZ_CP051858.1	1297264	1297509	-	246	142	107	246	187	138	140	13	112	135	96	94	73
HIS92_RS06495	NZ_CP051858.1	1297649	1297855	+	207	35	22	47	43	24	60	33	38	35	47	23	22
HIS92_RS06500	NZ_CP051858.1	1298495	1299607	+	1113	217	134	236	214	201	235	165	162	204	122	118	101
HIS92_RS06505	NZ_CP051858.1	1299589	1300233	+	645	90	53	94	88	90	98	84	73	115	40	32	47
HIS92_RS06510	NZ_CP051858.1	1300246	1301439	+	1194	233	146	251	269	275	278	137	161	211	148	164	98
HIS92_RS06515	NZ_CP051858.1	1301458	1301919	+	462	90	68	99	105	105	138	110	82	122	65	70	73
HIS92_RS06520	NZ_CP051858.1	1301942	1302262	-	321	2	0	6	4	2	2	1	0	3	0	0	2
HIS92_RS06525	NZ_CP051858.1	1302445	1303443	-	999	0	8	3	5	0	0	3	1	7	0	1	0
HIS92_RS06530	NZ_CP051858.1	1303445	1304254	-	810	0	1	0	1	2	3	4	0	0	6	1	0
